model_id,page,base_model,filter,sort,extracted_at
dulimov/Qwen3-0.6B-rk3588-1.2.1-unsloth,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
codelion/Qwen3-0.6B-PTS-DPO,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
codelion/Qwen3-0.6B-PTS-DPO-LoRA,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
reaperdoesntknow/Symbiotic-1B,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Qwen3-0.6B-Math-Expert,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Qwen3-0.6B-IF-Expert,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Qwen3-0.6B-Medical-Expert,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
xcx0902/Qwen3-0.6B-catgirl,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Terminator-of-AI/Qwen3-0.6B-finetuning-by-Dragonraja,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Terminator-of-AI/Qwen3-0.6B-finetuning-by-rebirth-of-the-super-battleship,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
jeehwon/Qwen3-0.6B-Distill,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
jeehwon/Qwen3-0.6B-Distill_001,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Arcana-Qwen3-2.4B-A0.6B,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
MathewShen/qwen3-0.6B-tldr-adapter,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
KissanAI/ThinkingDhenu1-CRSA-India-micro-preview,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
tuandunghcmut/Qwen3-FT-Customer-Dataset,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
cytoe/qwen_finetuned,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
lunahr/Qwen3-0.6B-abliterated,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Rexhaif/Qwen3-0.6B-MTEval-SFT,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Mattimax/DATA-AI_Chat_4_0.6B,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Chaew00n/test-policy-optimization-0517,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
lunahr/Qwen3-0.6B-MergedQKV,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
bd4sur/Qwen3,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
2Vasabi/Qwen3-0.6B_medical-question-answering-datasets_medical_meadow_wikidoc_patient_information_1,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Azzindani/Qwen3_0.6B_C2C_Checkpoint,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
sarahbadr/MNLP_M2_dpo_model,p=1,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Azzindani/Qwen3_0.6B_L2C_Checkpoint,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Jacqkues/qwen3_cai,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
2Vasabi/Qwen3-0.6B_medical-question-answering-datasets_medical_meadow_wikidoc_patient_information_7,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
rd211/Qwen3-0.6B-Instruct,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
P4o1o/Qwen3_0.6-NvidiaOpenCodeReasoning,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Ichi075/GEN-1,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
lipefree/MNLP_M2_dpo_model,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
thesantatitan/qwen3-0.6B-svg-sft,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
HuangXinBa/gemma-2-2B-it-thinking-function_calling-V0,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
rd211/Qwen3-0.6B-Instruct-RAG,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
prithivMLmods/Magpie-Qwen-CortexDual-0.6B,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Qwen3-0.6B-Psychological-Support,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
TarhanE/GRPO-Qwen3-0.6B,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
victkk/Qwen3-0.6B-math-orca-qlora-10k-ep1,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Qwen3-0.6B-Diagnose,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
suayptalha/Qwen3-0.6B-Treatment,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
dulimov/Qwen3-0.6B-rk3588-1.2.1-unsloth-16k,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
MeowML/E-Model-Reasoner-Math-V1,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
prithivMLmods/Lynx-TinySync-0.6B,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
qgallouedec/Qwen3-0.6B-SFT,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
StaAhmed/qwen_med_4,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Chaew00n/test-policy-optimization-query-rewrite-0529,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Chaew00n/test-policy-optimization-query-expansion-0529,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
SaminSkyfall/sft_512,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
SaminSkyfall/rloo,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Azzindani/Qwen3_0.6B_Legal_Checkpoint,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
quasar1256/fine_tuned_qwen3_comet_v2.0,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
legends810/qwen3-shayari-finetuned,p=2,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
ykallan/DuiLian-Qwen3-0.6B,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
phronetic-ai/RZN-T,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
taki555/Qwen3-0.6B-Shadow-FT-BAAI-2k,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
kxxinDave/Qwen3-0.6B-ToolGRPO,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Thomaschtl/qwen3-0.6b-qat-test,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Thomaschtl/qwen3-06b-qat-test,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
imabedalghafer/maqsm_model_pii_removal,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Thomaschtl/test2,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Thomaschtl/test3,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Cusul/Dart_1ep,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
tiktokzkf/Qwen3-0.6B-GRPO-test,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Cusul/Capyb_1ep,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Cusul/Capyb_3ep,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
SaminSkyfall/reward,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
alibenchek/MNLP_M3_mcqa_model,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
johnnyd-gensyn/Qwen3-0.6B-Gensyn-Swarm-peaceful_whistling_heron,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Cusul/SFT_DART,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
bosonphoton/Qwen3-0.6B-GRPO-test,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
jaeyong2/Qwen3-0.6B-DPO-Peft,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
vericava/qwen3-0.6b-vericava-posts-v3,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
TinyQwen/TinyQwen-0.6B-0608,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
vericava/qwen3-0.6b-vericava-posts-v6,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Geraldine/qwen3-0.6B-unimarc-grpo,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Cusul/Stem_1,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
nililba/MNLP_M3_rag_model,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
TarhanE/sft-count_loss-Qwen3-0.6B-mle0.5-ul0.5-tox0-e4,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
rohitnagareddy/Qwen3-0.6B-Medical-Finetuned-v1,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
azizdh00/MNLP_M3_rag_model,p=3,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
huihui-ai/Huihui-MoE-0.8B-2E,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
rohitnagareddy/Qwen3-0.6B-Coding-Finetuned-v1,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
huihui-ai/Huihui-MoE-1B-A0.6B,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Spestly/Athena-R3X-0.6B,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
SaminSkyfall/reward_unsloth,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
corupta/dseek-draft-test,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
huihui-ai/Huihui-MoE-1.2B-A0.6B,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Blancy/Qwen3-1.7B-Open-R1-Code-GRPO,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
FluidInference/qwen3-0.6b-int4-ov-npu,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
MaheshNagabhairava/Best-Security-Practices-Model,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
zjunlp/OceanGPT-coder-0.6B,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
buttercoconut/Qwen3-ko-alpaca-0.6B,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
SaminSkyfall/dpo,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
MoxStone/SmaliLLM-Qwen3-0.6B-Finetuned,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
TinyQwen/TinyQwen3-distill-0.6B,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
kshitijthakkar/loggenix-moe-0.1B-e2-lr5e5-b4-3060-early-stopped,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Jiahao004/SFT-agentllm-template1-train2-Qwen3-0.6B-1e-5LR-50Epochs-32768Tokens-1BS-think-step-by-step,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Ontario/qwen3-0.6b-awesome-prompts,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Skywork/Skywork-Reward-V2-Qwen3-0.6B,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
x32/Qwen3-0.6B-GRPO-GSM8K-Think,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
kashif/Qwen3-0.6B-h128-l4-a16-ctx256-pred64-vocab4096-MeanScaleUniform-lr1.0e-05-bs16-steps1000,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
QinShiHuangisavailable/output1,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Ontario/qwen3-0.6b-en-law-qa,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
luohuashijieyoufengjun/qwen3_0.6B_ner_lora,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Goekdeniz-Guelmez/Qwen3-0.6B-gabliterated,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Blancy/Qwen3-0.6B-Open-R1-GRPO,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
NexaAI/Qwen3-0.6B-bf16-MLX,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
Satyach/distilled-model-v1,p=4,Qwen/Qwen3-0.6B,base_model:finetune:Qwen/Qwen3-0.6B,trending,2025-12-20
