model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
LiquidAI/LFM2-1.2B,7,7,1,6,01-ai/Yi-6B-200K | 01-ai/Yi-6B | PygmalionAI/pygmalion-2.7b | EleutherAI/pythia-6.9b | EleutherAI/pythia-1b | augmxnt/shisa-base-7b-v1,
LiquidAI/LFM2-350M,1,1,1,0,,10.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,30,30,10,20,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | nvidia/OpenMath2-Llama3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | S4nfs/Neeto-1.0-8b | microsoft/UserLM-8b | allenai/llama-3.1-tulu-2-8b | elyza/Llama-3-ELYZA-JP-8B | gradientai/Llama-3-8B-Instruct-262k | HuggingFaceTB/SmolLM3-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B-Base,
Nexusflow/Starling-LM-7B-beta,31,31,1,30,fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | mistralai/Mistral-7B-v0.1 | mlabonne/OmniBeagle-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare | kevin009/llamaRAGdrama | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | HuggingFaceH4/zephyr-7b-beta | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
NinedayWang/PolyCoder-2.7B,0,0,0,0,,
NousResearch/Hermes-3-Llama-3.1-8B,32,32,16,16,S4nfs/Neeto-1.0-8b | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | HuggingFaceTB/SmolLM3-3B,
PharMolix/BioMedGPT-LM-7B,11,11,0,11,lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-chemical | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | lmsys/vicuna-7b-v1.1 | TinyLlama/TinyLlama_v1.1_math_code | AdaptLLM/medicine-LLM,
PowerInfer/SmallThinker-3B-Preview,2,2,2,0,,1.5
PygmalionAI/pygmalion-2.7b,3,3,0,3,KoboldAI/GPT-Neo-2.7B-Horni-LN | EleutherAI/gpt-neo-1.3B | TheOneWhoWill/Bootstrap-LLM,
Qwen/Qwen1.5-0.5B-Chat,1,1,1,0,,11.0
Qwen/Qwen1.5-4B-Chat,0,0,0,0,,
Qwen/Qwen2-0.5B,1,1,1,0,,1.0
Qwen/Qwen2-0.5B-Instruct,1,1,1,0,,1.0
Qwen/Qwen2-7B,14,14,13,1,allura-org/Koto-Small-7B-PT,
Qwen/Qwen2-7B-Instruct,17,17,16,1,allura-org/Koto-Small-7B-PT,
Qwen/Qwen2.5-0.5B,12,12,12,0,,7.666667
Qwen/Qwen2.5-0.5B-Instruct,3,3,3,0,,1.0
Qwen/Qwen2.5-1.5B,28,28,26,2,beyoru/Luna | XiaomiMiMo/MiMo-7B-Base,
Qwen/Qwen2.5-1.5B-Instruct,18,18,17,1,beyoru/Luna,
Qwen/Qwen2.5-3B,24,24,23,1,beyoru/Luna,
Qwen/Qwen2.5-3B-Instruct,12,12,12,0,,10.25
Qwen/Qwen2.5-7B,21,21,20,1,beyoru/Luna,
Qwen/Qwen2.5-7B-Instruct,12,12,12,0,,2.916667
Qwen/Qwen2.5-7B-Instruct-1M,12,12,12,0,,4.083333
Qwen/Qwen2.5-Coder-0.5B-Instruct,3,3,3,0,,13.0
Qwen/Qwen2.5-Coder-1.5B,22,22,21,1,beyoru/Luna,
Qwen/Qwen2.5-Coder-1.5B-Instruct,18,18,17,1,beyoru/Luna,
Qwen/Qwen2.5-Coder-7B,9,9,9,0,,6.888889
Qwen/Qwen2.5-Coder-7B-Instruct,3,3,3,0,,1.666667
Qwen/Qwen2.5-Math-1.5B,10,10,10,0,,8.0
Qwen/Qwen2.5-Math-1.5B-Instruct,5,5,5,0,,4.0
Qwen/Qwen2.5-Math-7B,18,18,17,1,beyoru/Luna,
Qwen/Qwen2.5-Math-7B-Instruct,0,0,0,0,,
Qwen/Qwen3-0.6B,8,8,7,1,beyoru/Luna,
Qwen/Qwen3-0.6B-Base,1,1,1,0,,1.0
Qwen/Qwen3-1.7B,8,8,7,1,beyoru/Luna,
Qwen/Qwen3-1.7B-Base,26,26,24,2,XiaomiMiMo/MiMo-7B-Base | beyoru/Luna,
Qwen/Qwen3-4B,15,15,14,1,beyoru/Luna,
Qwen/Qwen3-4B-Base,21,21,14,7,XiaomiMiMo/MiMo-7B-Base | beyoru/Luna | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | dphn/Dolphin3.0-Llama3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B,
Qwen/Qwen3-4B-Instruct-2507,10,10,9,1,beyoru/Luna,
Qwen/Qwen3-4B-Thinking-2507,13,13,12,1,beyoru/Luna,
Qwen/Qwen3-4B-Thinking-2507-FP8,9,9,8,1,beyoru/Luna,
S4nfs/Neeto-1.0-8b,32,32,0,32,meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B | gradientai/Llama-3-8B-Instruct-262k | dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | NousResearch/Hermes-3-Llama-3.1-8B | allenai/llama-3.1-tulu-2-8b | askfjhaskjgh/UbermenschetienASI | arcee-ai/Llama-3.1-SuperNova-Lite | elyza/Llama-3-ELYZA-JP-8B | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | acon96/Home-Llama-3.2-3B | nvidia/OpenMath2-Llama3.1-8B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | inference-net/Schematron-3B | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | HuggingFaceTB/SmolLM3-3B-Base,
SakanaAI/TinySwallow-1.5B,18,18,12,6,XiaomiMiMo/MiMo-7B-Base | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | aisingapore/Llama-SEA-LION-v3-8B | dphn/Dolphin3.0-Llama3.1-8B,
SciPhi/SciPhi-Mistral-7B-32k,31,31,8,23,shadowml/WestBeagle-7B | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | mlabonne/Beagle14-7B | Nexusflow/Starling-LM-7B-beta | mlabonne/NeuralBeagle14-7B | berkeley-nest/Starling-LM-7B-alpha | fblgit/UNA-TheBeagle-7b-v1 | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/OmniBeagle-7B | mlabonne/Marcoro14-7B-slerp | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare | CultriX/NeuralTrix-bf16 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/NeuralBeagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | Nexusflow/Starling-LM-7B-beta | fblgit/UNA-TheBeagle-7b-v1 | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | mlabonne/OmniBeagle-7B | berkeley-nest/Starling-LM-7B-alpha | kevin009/llamaRAGdrama | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2,
Tesslate/UIGEN-X-4B-0729,16,16,15,1,beyoru/Luna,
Tesslate/WEBGEN-4B-Preview,11,11,10,1,beyoru/Luna,
TheOneWhoWill/Bootstrap-LLM,3,3,0,3,PygmalionAI/pygmalion-2.7b | KoboldAI/GPT-Neo-2.7B-Horni-LN | EleutherAI/gpt-neo-1.3B,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,11,11,4,7,FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | FelixChao/vicuna-7B-chemical | lmsys/vicuna-7b-v1.1 | lmsys/vicuna-7b-v1.5 | PharMolix/BioMedGPT-LM-7B | AdaptLLM/medicine-LLM,
