model,top1_overlap,top1_models,top1_count,top2_overlap,top2_models,top2_count,base_model,base_relationship,base_in_testset,base_overlap,base_in_top
mistralai/Mistral-7B-Instruct-v0.2,0.5277,mistralai/Mistral-7B-v0.1,1,0.0883,mistralai/Mistral-7B-Instruct-v0.3,1,,,,,
tiiuae/Falcon3-1B-Instruct,0.8102,nvidia/Llama-3.1-8B-Instruct-FP8,1,0.4478,mistralai/Mistral-7B-Instruct-v0.3,1,tiiuae/Falcon3-1B-Base,finetune,no,,
Qwen/Qwen2.5-Coder-0.5B,0.2091,Qwen/Qwen2.5-3B,1,0.2085,Qwen/Qwen2.5-Coder-1.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,,
Qwen/Qwen2.5-1.5B-Instruct,1.0,unsloth/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-1.5B-Instruct,2,0.6051,unsloth/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B,2,Qwen/Qwen2.5-1.5B,finetune,yes,0.605100,2
Qwen/Qwen2.5-7B,0.4643,arcee-ai/Meraj-Mini,1,0.3904,Qwen/Qwen2.5-7B-Instruct-1M,1,,,,,
Qwen/Qwen2.5-7B-Instruct,1.0,Gensyn/Qwen2.5-7B-Instruct,1,0.689,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B,finetune,yes,0.389900,0
Qwen/Qwen2.5-7B-Instruct-1M,0.439,arcee-ai/Meraj-Mini,1,0.4102,Qwen/Qwen2.5-7B-Instruct | Gensyn/Qwen2.5-7B-Instruct,2,Qwen/Qwen2.5-7B,finetune,yes,0.348600,0
Qwen/Qwen2.5-Coder-7B,0.1831,Qwen/Qwen2.5-7B,1,0.1555,Qwen/Qwen2.5-Coder-1.5B,1,Qwen/Qwen2.5-7B,finetune,yes,0.183100,1
mistralai/Mistral-7B-v0.1,0.6255,mistralai/Mistral-7B-Instruct-v0.2,1,0.0677,mistralai/Mistral-7B-Instruct-v0.3,1,,,,,
Qwen/Qwen2.5-0.5B-Instruct,1.0,Gensyn/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct,2,0.3513,unsloth/Qwen2.5-0.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,,
Qwen/Qwen2.5-3B,0.4207,Qwen/Qwen2.5-3B-Instruct,1,0.2749,PowerInfer/SmallThinker-3B-Preview,1,,,,,
arcee-ai/WitchLM-1.5B,0.1236,Qwen/Qwen2.5-Coder-7B,1,0.1198,Qwen/Qwen2.5-7B,1,Qwen/Qwen2-1.5B,finetune,no,,
SakanaAI/TinySwallow-1.5B,0.2787,unsloth/Qwen3-1.7B-Base,1,0.0797,unsloth/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B,2,Qwen/Qwen2.5-1.5B-Instruct,finetune,yes,0.022600,0
acon96/Home-Llama-3.2-3B,0.7331,meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct,2,0.7157,inference-net/Schematron-3B,1,meta-llama/Llama-3.2-3B-Instruct,finetune,yes,0.733100,1
aisingapore/Llama-SEA-LION-v3-8B,0.493,allenai/Llama-3.1-Tulu-3-8B-SFT,1,0.4755,allenai/Llama-3.1-Tulu-3-8B,1,meta-llama/Llama-3.1-8B-Instruct,finetune,yes,0.343900,0
allenai/Llama-3.1-Tulu-3-8B-SFT,0.7019,allenai/Llama-3.1-Tulu-3-8B,1,0.5822,meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B,2,meta-llama/Llama-3.1-8B,finetune,yes,0.582200,2
PowerInfer/SmallThinker-3B-Preview,0.3666,Qwen/Qwen2.5-3B-Instruct,1,0.2748,Qwen/Qwen2.5-3B,1,Qwen/Qwen2.5-3B-Instruct,finetune,yes,0.366600,1
nvidia/Llama-3.1-Nemotron-Nano-4B-v1.1,0.0492,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,1,0.0479,dphn/Dolphin3.0-Llama3.1-8B,1,nvidia/Llama-3.1-Minitron-4B-Width-Base,finetune,no,,
Qwen/Qwen2.5-Coder-3B-Instruct,0.1386,Qwen/Qwen2.5-Coder-7B,1,0.1287,Qwen/Qwen2.5-3B,1,Qwen/Qwen2.5-Coder-3B,finetune,no,,
nvidia/DLER-Llama-Nemotron-8B-Merge-Research,0.1471,allenai/llama-3.1-tulu-2-8b,1,0.1408,nvidia/OpenMath2-Llama3.1-8B,1,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,finetune,no,,
Qwen/Qwen3-1.7B,0.4667,dnotitia/Smoothie-Qwen3-1.7B,1,0.203,Qwen/Qwen3-4B,1,Qwen/Qwen3-1.7B-Base,finetune,no,,
allenai/llama-3.1-tulu-2-8b,0.2767,NousResearch/Hermes-3-Llama-3.1-8B,1,0.2716,NousResearch/Hermes-2-Pro-Llama-3-8B,1,meta-llama/Llama-3.1-8B,finetune,yes,0.208700,0
unsloth/Llama-3.2-1B-Instruct,1.0,meta-llama/Llama-3.2-1B-Instruct,1,0.2471,inference-net/Schematron-3B,1,meta-llama/Llama-3.2-1B-Instruct,finetune,yes,1.000000,1
unsloth/Qwen3-0.6B-Base,0.3093,Qwen/Qwen3-0.6B,1,0.0978,unsloth/Qwen2.5-0.5B,1,Qwen/Qwen3-0.6B-Base,finetune,no,,
MLP-KTLim/llama-3-Korean-Bllossom-8B,0.4456,NousResearch/Hermes-2-Pro-Llama-3-8B,1,0.3146,unsloth/Llama-3.1-8B | meta-llama/Llama-3.1-8B,2,meta-llama/Meta-Llama-3-8B,finetune,no,,
Qwen/Qwen2.5-Math-1.5B-Instruct,0.123,Writer/palmyra-mini,1,0.1123,unsloth/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B,2,Qwen/Qwen2.5-Math-1.5B,finetune,yes,0.112300,2
Qwen/Qwen2-0.5B-Instruct,0.0804,Qwen/Qwen2.5-0.5B-Instruct | Gensyn/Qwen2.5-0.5B-Instruct | unsloth/Qwen2.5-0.5B-Instruct,3,0.0686,dnotitia/Smoothie-Qwen3-1.7B,1,Qwen/Qwen2-0.5B,finetune,no,,
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.0822,Qwen/Qwen2.5-Coder-1.5B-Instruct,1,0.0792,Qwen/Qwen2.5-Coder-3B-Instruct,1,Qwen/Qwen2.5-Coder-0.5B,finetune,yes,0.046100,0
google/gemma-2-2b-jpn-it,0.6401,google/gemma-2-2b-it,1,0.0651,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,1,google/gemma-2-2b-it,finetune,yes,0.640100,1
Gensyn/Qwen2.5-1.5B-Instruct,1.0,unsloth/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct,2,0.6056,unsloth/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B,2,Qwen/Qwen2.5-1.5B,finetune,yes,0.605600,2
unsloth/Llama-3.2-1B,0.3612,dphn/Dolphin3.0-Llama3.2-1B,1,0.2595,unsloth/Llama-3.1-8B | meta-llama/Llama-3.1-8B,2,meta-llama/Llama-3.2-1B,finetune,no,,
arcee-ai/Llama-3.1-SuperNova-Lite,0.7868,unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct,3,0.3372,aisingapore/Llama-SEA-LION-v3-8B,1,meta-llama/Llama-3.1-8B-Instruct,finetune,yes,0.786800,1
arcee-ai/Meraj-Mini,0.6711,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct,2,0.5849,Jurema-br/Jurema-7B,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.671100,1
unsloth/Qwen2.5-0.5B,0.3774,unsloth/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct | Gensyn/Qwen2.5-0.5B-Instruct,3,0.1628,Qwen/Qwen2.5-Coder-0.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,,
unsloth/Qwen2.5-0.5B-Instruct,1.0,Gensyn/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct,2,0.3547,unsloth/Qwen2.5-0.5B,1,Qwen/Qwen2.5-0.5B-Instruct,finetune,yes,1.000000,1
Gensyn/Qwen2.5-0.5B-Instruct,1.0,unsloth/Qwen2.5-0.5B-Instruct | Qwen/Qwen2.5-0.5B-Instruct,2,0.3803,unsloth/Qwen2.5-0.5B,1,Qwen/Qwen2.5-0.5B,finetune,no,,
unsloth/Qwen2.5-Math-7B-Instruct,0.0744,nvidia/Llama-3.1-8B-Instruct-FP8,1,0.0567,tiiuae/Falcon3-1B-Instruct,1,Qwen/Qwen2.5-Math-7B-Instruct,finetune,no,,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,1.0,meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct,2,0.7063,arcee-ai/Llama-3.1-SuperNova-Lite,1,meta-llama/Llama-3.1-8B,finetune,yes,0.109700,0
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.6071,Gensyn/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct,2,0.5458,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.607100,1
dphn/Dolphin3.0-Llama3.1-8B,0.2576,allenai/Llama-3.1-Tulu-3-8B,1,0.2568,allenai/llama-3.1-tulu-2-8b,1,meta-llama/Llama-3.1-8B,finetune,yes,0.253800,0
inference-net/Schematron-3B,0.8228,unsloth/Llama-3.2-3B-Instruct | meta-llama/Llama-3.2-3B-Instruct,2,0.7686,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,1,meta-llama/Llama-3.2-3B-Instruct,finetune,yes,0.822800,1
meta-llama/Llama-3.1-8B,1.0,unsloth/Llama-3.1-8B,1,0.727,allenai/Llama-3.1-Tulu-3-8B-SFT,1,,,,,
meta-llama/Llama-3.1-8B-Instruct,1.0,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | unsloth/Meta-Llama-3.1-8B-Instruct,2,0.6326,arcee-ai/Llama-3.1-SuperNova-Lite,1,meta-llama/Llama-3.1-8B,finetune,yes,0.222600,0
meta-llama/Llama-3.2-3B-Instruct,1.0,unsloth/Llama-3.2-3B-Instruct,1,0.7931,inference-net/Schematron-3B,1,,,,,
meta-llama/Llama-Guard-3-8B,0.2294,NousResearch/Hermes-3-Llama-3.1-8B,1,0.1558,allenai/llama-3.1-tulu-2-8b,1,meta-llama/Llama-3.1-8B,finetune,yes,0.113700,0
NousResearch/Hermes-2-Pro-Llama-3-8B,0.4334,MLP-KTLim/llama-3-Korean-Bllossom-8B,1,0.3497,NousResearch/Hermes-3-Llama-3.1-8B,1,NousResearch/Meta-Llama-3-8B,finetune,no,,
allenai/Llama-3.1-Tulu-3-8B,0.7235,allenai/Llama-3.1-Tulu-3-8B-SFT,1,0.6481,unsloth/Llama-3.1-8B | meta-llama/Llama-3.1-8B,2,allenai/Llama-3.1-Tulu-3-8B-DPO,finetune,no,,
Writer/palmyra-mini,0.312,nvidia/DLER-R1-1.5B-Research,1,0.2902,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,1,Qwen/Qwen2.5-1.5B,finetune,yes,0.005200,0
nvidia/DLER-R1-1.5B-Research,0.4656,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,1,0.3077,Writer/palmyra-mini,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,finetune,no,,
unsloth/DeepSeek-R1-Distill-Qwen-1.5B,0.4897,nvidia/DLER-R1-1.5B-Research,1,0.2633,Writer/palmyra-mini,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,finetune,no,,
dnotitia/Smoothie-Qwen3-1.7B,0.4898,Qwen/Qwen3-1.7B,1,0.1183,Qwen/Qwen3-4B,1,Qwen/Qwen3-1.7B,finetune,yes,0.489800,1
Menlo/AlphaSpace-1.5B,0.2323,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,1,0.2194,nvidia/DLER-R1-1.5B-Research,1,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,finetune,no,,
unsloth/Qwen2.5-1.5B,1.0,Qwen/Qwen2.5-1.5B,1,0.4274,unsloth/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-1.5B-Instruct,3,Qwen/Qwen2.5-1.5B,finetune,yes,1.000000,1
unsloth/Qwen2.5-1.5B-Instruct,1.0,Qwen/Qwen2.5-1.5B-Instruct | Gensyn/Qwen2.5-1.5B-Instruct,2,0.5976,Qwen/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B,2,Qwen/Qwen2.5-1.5B-Instruct,finetune,yes,1.000000,1
microsoft/UserLM-8b,0.2861,NousResearch/Hermes-2-Pro-Llama-3-8B,1,0.2531,aisingapore/Llama-SEA-LION-v3-8B,1,meta-llama/Llama-3.1-8B,finetune,yes,0.185400,0
NousResearch/Hermes-3-Llama-3.2-3B,0.5319,meta-llama/Llama-3.2-3B,1,0.3076,unsloth/Llama-3.2-1B,1,meta-llama/Meta-Llama-3.2-3B,finetune,no,,
Qwen/Qwen2.5-Coder-1.5B,0.2225,Qwen/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B,2,0.2106,Qwen/Qwen2.5-3B,1,Qwen/Qwen2.5-1.5B,finetune,yes,0.222500,1
nvidia/OpenMath-Nemotron-1.5B,0.0565,Writer/palmyra-mini,1,0.0561,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,1,Qwen/Qwen2.5-Math-1.5B,finetune,yes,0.055000,0
unsloth/Qwen2.5-Math-1.5B,1.0,Qwen/Qwen2.5-Math-1.5B,1,0.2311,Writer/palmyra-mini,1,Qwen/Qwen2.5-Math-1.5B,finetune,yes,1.000000,1
nvidia/Llama-3.1-8B-Instruct-FP8,0.8179,tiiuae/Falcon3-1B-Instruct,1,0.4574,mistralai/Mistral-7B-Instruct-v0.3,1,meta-llama/Llama-3.1-8B-Instruct,finetune,yes,0.002100,0
google/gemma-2-2b,0.1046,nvidia/Llama-3.1-8B-Instruct-FP8,1,0.0891,tiiuae/Falcon3-1B-Instruct,1,,,,,
dphn/Dolphin3.0-Llama3.2-1B,0.4958,unsloth/Llama-3.2-1B,1,0.2844,meta-llama/Llama-3.2-3B,1,meta-llama/Llama-3.2-1B,finetune,no,,
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.2173,nvidia/OpenCodeReasoning-Nemotron-7B,1,0.2069,Qwen/Qwen2.5-7B,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.189900,0
nvidia/OpenCodeReasoning-Nemotron-7B,0.2477,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,1,0.2321,arcee-ai/Meraj-Mini,1,Qwen/Qwen2.5-7B-Instruct,finetune,yes,0.220700,0
google/gemma-2-2b-it,0.6201,google/gemma-2-2b-jpn-it,1,0.0747,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,1,google/gemma-2-2b,finetune,yes,0.016700,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.1579,Qwen/Qwen2.5-Coder-1.5B,1,0.0777,Qwen/Qwen2.5-Coder-3B-Instruct,1,Qwen/Qwen2.5-Coder-1.5B,finetune,yes,0.157900,1
nvidia/OpenMath2-Llama3.1-8B,0.2012,unsloth/Meta-Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct,3,0.1986,arcee-ai/Llama-3.1-SuperNova-Lite,1,meta-llama/Llama-3.1-8B,finetune,yes,0.123400,0
Qwen/Qwen3-0.6B,0.1853,unsloth/Qwen3-0.6B-Base,1,0.1121,Qwen/Qwen3-1.7B,1,Qwen/Qwen3-0.6B-Base,finetune,no,,
Qwen/Qwen2-7B,0.5793,Qwen/Qwen2-7B-Instruct,1,0.1414,Qwen/Qwen2.5-7B-Instruct-1M,1,,,,,
unsloth/Qwen3-1.7B-Base,0.182,SakanaAI/TinySwallow-1.5B,1,0.175,unsloth/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B,2,Qwen/Qwen3-1.7B-Base,finetune,no,,
unsloth/Llama-3.1-8B,1.0,meta-llama/Llama-3.1-8B,1,0.553,allenai/Llama-3.1-Tulu-3-8B-SFT,1,meta-llama/Llama-3.1-8B,finetune,yes,1.000000,1
unsloth/Llama-3.2-3B-Instruct,1.0,meta-llama/Llama-3.2-3B-Instruct,1,0.7628,inference-net/Schematron-3B,1,meta-llama/Llama-3.2-3B-Instruct,finetune,yes,1.000000,1
unsloth/Meta-Llama-3.1-8B-Instruct,1.0,meta-llama/Llama-3.1-8B-Instruct | context-labs/Meta-Llama-3.1-8B-Instruct-FP16,2,0.703,arcee-ai/Llama-3.1-SuperNova-Lite,1,meta-llama/Llama-3.1-8B-Instruct,finetune,yes,1.000000,1
unsloth/Phi-3.5-mini-instruct,0.0833,mistralai/Mistral-7B-v0.1,1,0.0825,mistralai/Mistral-7B-Instruct-v0.3,1,microsoft/Phi-3.5-mini-instruct,finetune,no,,
Qwen/Qwen2.5-Math-1.5B,1.0,unsloth/Qwen2.5-Math-1.5B,1,0.1755,Writer/palmyra-mini,1,Qwen/Qwen2.5-1.5B,finetune,yes,0.009500,0
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,0.3345,google/gemma-2-2b-jpn-it,1,0.3303,google/gemma-2-2b-it,1,google/gemma-2-2b,finetune,yes,0.289900,0
nvidia/OpenReasoning-Nemotron-1.5B,0.1243,Qwen/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B,2,0.0866,Qwen/Qwen2.5-3B,1,Qwen/Qwen2.5-1.5B,finetune,yes,0.124300,1
