model_id,base_model,relationship type,Source,Criteria
Qwen/Qwen3-4B-Thinking-2507-FP8,Qwen/Qwen3-4B-Thinking-2507,,paper,
S4nfs/Neeto-1.0-8b,,,paper,
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-1.5B-Instruct,,,
SciPhi/SciPhi-Mistral-7B-32k,,,paper,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,,,paper,
Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B,,paper,
Tesslate/WEBGEN-4B-Preview,Qwen/Qwen3-4B-Instruct-2507,,paper,
TheOneWhoWill/Bootstrap-LLM,,,paper,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,,,paper,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,,,paper,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,,,paper,
TinyLlama/TinyLlama_v1.1,,,paper,
TinyLlama/TinyLlama_v1.1_math_code,,,paper,
Writer/palmyra-mini,Qwen/Qwen2.5-1.5B,,,
XiaomiMiMo/MiMo-7B-Base,,,,
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Qwen/Qwen2.5-7B-Instruct,,paper,
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,,,
adamo1139/Apertus-8B-Instruct-2509-ungated,swiss-ai/Apertus-8B-2509,,paper,
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct,,,
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,,,
allenai/OLMoE-1B-7B-0924,,,paper,
allenai/llama-3.1-tulu-2-8b,meta-llama/Meta-Llama-3.1-8B,,,
allura-org/Koto-Small-7B-PT,XiaomiMiMo/MiMo-7B-Base,,,
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Meta-Llama-3.1-8B-Instruct,,,
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct,,,
argilla/distilabeled-Marcoro14-7B-slerp,mlabonne/Marcoro14-7B-slerp,,,
askfjhaskjgh/UbermenschetienASI,NousResearch/Hermes-3-Llama-3.1-8B,,paper,
augmxnt/shisa-base-7b-v1,,,paper,
bardsai/jaskier-7b-dpo-v5.6,,,paper,
berkeley-nest/Starling-LM-7B-alpha,,,paper,
beruniy/Llama-3.2-3B-Instruct-Uz,meta-llama/Llama-3.2-3B-Instruct,,paper,
beyoru/Luna,,,paper,
bigcode/starcoder2-3b,,,paper,
bigscience/bloom-560m,,,paper,
bigscience/bloomz-1b1,,,paper,
bigscience/bloomz-1b7,,,paper,
bigscience/bloomz-560m,,,paper,
bxod/Llama-3.2-1B-Instruct-uz,meta-llama/Llama-3.2-1B-Instruct,,paper,
chatitcloud/UZI1,google/gemma-3-270m,,paper,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Meta-Llama-3.1-8B,,,
continuedev/instinct,Qwen/Qwen2.5-Coder-7B,,paper,
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct,,,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,,paper,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,,,paper,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,,paper,
deepseek-ai/deepseek-coder-1.3b-base,,,paper,
dicta-il/dictalm2.0,,,paper,
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-1.7B,,,
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,,,
elyza/Llama-3-ELYZA-JP-8B,,,paper,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,,,paper,
fblgit/UNA-TheBeagle-7b-v1,,,,
flemmingmiguel/MBX-7B-v3,,,,
fluently/FluentlyQwen3-1.7B,Qwen/Qwen3-1.7B,,paper,
google/gemma-2-2b-it,google/gemma-2-2b,,,
google/gemma-2-2b-jpn-it,google/gemma-2-2b-it,,,
google/gemma-2b-it,,,paper,
google/gemma-3-1b-it,google/gemma-3-1b-pt,,paper,
google/gemma-3-1b-pt,,,,
google/gemma-3-270m,,,,
google/gemma-3-4b-it,google/gemma-3-4b-pt,,paper,
google/gemma-3-4b-pt,,,,
gradientai/Llama-3-8B-Instruct-262k,,,paper,
huihui-ai/Huihui-Jan-v1-4B-abliterated,janhq/Jan-v1-4B,,paper,
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct,,,
janhq/Jan-v1-4B,Qwen/Qwen3-4B-Thinking-2507,,paper,
janhq/Jan-v1-edge,Qwen/Qwen3-1.7B,,paper,
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-7B,,paper,
kevin009/llamaRAGdrama,,,paper,
lmsys/vicuna-7b-v1.1,,,paper,
lmsys/vicuna-7b-v1.5,,,paper,
lmsys/vicuna-7b-v1.5-16k,,,paper,
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Meta-Llama-3.1-8B,,paper,
meta-llama/Llama-3.2-1B-Instruct,,,paper,
meta-llama/Llama-3.2-3B-Instruct,,,paper,
meta-llama/Llama-Guard-3-8B,meta-llama/Meta-Llama-3.1-8B,,,
meta-llama/Llama-3.1-8B,,,,
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B,,,
mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,,paper,
mistralai/Mistral-7B-v0.1,,,,
mlabonne/Beagle14-7B,"fblgit/UNA-TheBeagle-7b-v1, argilla/distilabeled-Marcoro14-7B-slerp",,,
mlabonne/Marcoro14-7B-slerp,,,,
mlabonne/NeuralBeagle14-7B,mlabonne/Beagle14-7B,,,
mlabonne/OmniBeagle-7B,"shadowml/BeagleSempra-7B, shadowml/BeagSake-7B, shadowml/WestBeagle-7B",,,
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct,,,
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct,,,
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct,,,
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B,,,
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B,,,
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B,,paper,
shadowml/BeagSake-7B,"shadowml/BeagleSempra-7B, shadowml/WestBeagle-7B",,,
shadowml/BeagleSempra-7B,"shadowml/WestBeagle-7B, FelixChao/Sectumsempra-7B-DPO",,,
shadowml/WestBeagle-7B,mlabonne/NeuralBeagle14-7B,,,
swiss-ai/Apertus-8B-2509,,,,
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B,,,
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,,,
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,,,
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,,,
unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,,,
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,,,
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,,,
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B,,,
google/gemma-2-2b,,,,
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,,,
