base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
zheminh/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,1.0,0.0,0.02033,0.027269,0.015866
Super007/aversi,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.025325,0.008602,0.011309
Kyleyee/Qwen2-0.5B-stf-hh,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.025017,0.006038,0.010351
Kyleyee/Qwen2-0.5B-stf-imdb,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.022999,0.034187,0.019062
Kyleyee/Qwen2-0.5B-stf-tldr,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.001078,0.01886,0.006646
diao-92/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.014983,0.005442,0.006808
diao-92/Qwen2-0.5B-SFT-2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.8,0.0,0.039861,0.022796,0.020885
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-tp,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.060172,0.085945,0.048706
Kyleyee/Qwen2-0.5B-DPO-imdb-bm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.023542,0.0,0.007847
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-wp,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.144379,0.167698,0.104025
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-rp,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.245222,0.203139,0.149454
olegGerbylev/Qwen2-0.5B-from-scratch,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.029394,0.038846,0.022747
stpete2/Qwen2-0.5B-math-grpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.005464,0.018027,0.007831
stpete2/Qwen2-0.5B-math-cppo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.002046,0.030449,0.010832
stpete2/Qwen2-0.5B-gsm8k-grpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,1.0,0.0,0.038182,0.07219,0.036791
stpete2/Qwen2-0.5B-gsm8k-cppo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.002046,0.030449,0.010832
FormlessAI/d84419b5-2185-433b-9661-35c823d5d3a5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.002353,0.004624,0.002326
FormlessAI/29801858-871a-41f1-9ccf-13b2d65edc3c,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.011188,0.011973,0.00772
RLHF-And-Friends/TLDR-Qwen2-0.5B-SmallSFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.270402,0.281826,0.184076
2reb/TinyToolUse-Qwen2-0.5B-Calculator,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.022423,0.036552,0.019659
tarabukinivanhome/f8ee752c-7c34-483e-97c1-df292d1703a9,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.009189,0.011445,0.006878
apriasmoro/f9a66004-23ff-406b-a1e5-ab8c54795d56,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,1.6,0.0,0.096285,0.141543,0.079276
sergiopaniego/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.019188,0.004167,0.007785
vikasp1610/qwen-sql-ft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.039978,0.020796,0.020258
sergiopaniego/trainer_output,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.003899,0.007701,0.003867
yarinbar/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.038937,0.038089,0.025676
jona-972/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.002685,0.00438,0.002355
jona-972/Qwen2-0.5B-SFT-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.075078,0.088639,0.054572
jona-972/Qwen2-0.5B-SFT-2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.002523,0.00076,0.001094
nmslmgl/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.008751,0.01627,0.00834
cheese1010/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.8,0.0,0.017331,0.017614,0.011648
