model1,model2,graph_distance
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-7B-Instruct,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,2.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct,3.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,14.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,14.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Coder-7B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,14.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Math-7B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct,14.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen3-1.7B,12.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen3-1.7B-Base,13.0
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen3-4B,
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen3-4B-Base,
Gensyn/Qwen2.5-0.5B-Instruct,SakanaAI/TinySwallow-1.5B,14.0
Gensyn/Qwen2.5-0.5B-Instruct,Writer/palmyra-mini,13.0
Gensyn/Qwen2.5-0.5B-Instruct,acon96/Home-Llama-3.2-3B,
Gensyn/Qwen2.5-0.5B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,
Gensyn/Qwen2.5-0.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B,
Gensyn/Qwen2.5-0.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B-DPO,
Gensyn/Qwen2.5-0.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B-SFT,
Gensyn/Qwen2.5-0.5B-Instruct,allenai/llama-3.1-tulu-2-8b,
Gensyn/Qwen2.5-0.5B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,
Gensyn/Qwen2.5-0.5B-Instruct,arcee-ai/Meraj-Mini,14.0
Gensyn/Qwen2.5-0.5B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Gensyn/Qwen2.5-0.5B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,14.0
Gensyn/Qwen2.5-0.5B-Instruct,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Gensyn/Qwen2.5-0.5B-Instruct,dnotitia/Smoothie-Qwen3-1.7B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,dphn/Dolphin3.0-Llama3.1-8B,
Gensyn/Qwen2.5-0.5B-Instruct,google/gemma-2-2b,
Gensyn/Qwen2.5-0.5B-Instruct,google/gemma-2-2b-it,
Gensyn/Qwen2.5-0.5B-Instruct,google/gemma-2-2b-jpn-it,
Gensyn/Qwen2.5-0.5B-Instruct,inference-net/Schematron-3B,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.1-8B,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.1-8B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.2-1B,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.2-1B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.2-3B,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Llama-3.2-3B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Llama-Guard-3-8B,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Meta-Llama-3-8B,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,meta-llama/Meta-Llama-3.2-3B,
Gensyn/Qwen2.5-0.5B-Instruct,microsoft/Phi-3.5-mini-instruct,
Gensyn/Qwen2.5-0.5B-Instruct,microsoft/UserLM-8b,
Gensyn/Qwen2.5-0.5B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,
Gensyn/Qwen2.5-0.5B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,
Gensyn/Qwen2.5-0.5B-Instruct,mistralai/Mistral-7B-v0.1,
Gensyn/Qwen2.5-0.5B-Instruct,mistralai/Mistral-7B-v0.3,
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/DLER-R1-1.5B-Research,
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8,
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,14.0
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B,14.0
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/OpenMath-Nemotron-1.5B,14.0
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/OpenMath2-Llama3.1-8B,
Gensyn/Qwen2.5-0.5B-Instruct,nvidia/OpenReasoning-Nemotron-1.5B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,tiiuae/Falcon3-1B-Base,
Gensyn/Qwen2.5-0.5B-Instruct,tiiuae/Falcon3-1B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Llama-3.1-8B,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Llama-3.2-1B,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Llama-3.2-1B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Llama-3.2-3B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Phi-3.5-mini-instruct,
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-0.5B,2.0
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,3.0
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-1.5B,13.0
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,14.0
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-Math-1.5B,14.0
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-Math-7B-Instruct,15.0
Gensyn/Qwen2.5-0.5B-Instruct,unsloth/Qwen3-1.7B-Base,14.0
Gensyn/Qwen2.5-1.5B-Instruct,Gensyn/Qwen2.5-7B-Instruct,13.0
Gensyn/Qwen2.5-1.5B-Instruct,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,
Gensyn/Qwen2.5-1.5B-Instruct,Jurema-br/Jurema-7B,13.0
Gensyn/Qwen2.5-1.5B-Instruct,MLP-KTLim/llama-3-Korean-Bllossom-8B,
Gensyn/Qwen2.5-1.5B-Instruct,Menlo/AlphaSpace-1.5B,
Gensyn/Qwen2.5-1.5B-Instruct,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,
Gensyn/Qwen2.5-1.5B-Instruct,NousResearch/Hermes-2-Pro-Llama-3-8B,
Gensyn/Qwen2.5-1.5B-Instruct,NousResearch/Hermes-3-Llama-3.1-8B,
Gensyn/Qwen2.5-1.5B-Instruct,NousResearch/Hermes-3-Llama-3.2-3B,
Gensyn/Qwen2.5-1.5B-Instruct,NousResearch/Meta-Llama-3-8B,
Gensyn/Qwen2.5-1.5B-Instruct,PowerInfer/SmallThinker-3B-Preview,13.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2-7B,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2-7B-Instruct,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-0.5B,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,1.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,2.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B-Instruct,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-7B,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-7B-Instruct,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,2.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,3.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-3B,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,13.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-7B,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,2.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,3.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Math-7B,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct,13.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-1.7B,11.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-1.7B-Base,12.0
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-4B,
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen3-4B-Base,
Gensyn/Qwen2.5-1.5B-Instruct,SakanaAI/TinySwallow-1.5B,3.0
Gensyn/Qwen2.5-1.5B-Instruct,Writer/palmyra-mini,2.0
Gensyn/Qwen2.5-1.5B-Instruct,acon96/Home-Llama-3.2-3B,
Gensyn/Qwen2.5-1.5B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,
Gensyn/Qwen2.5-1.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B,
Gensyn/Qwen2.5-1.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B-DPO,
Gensyn/Qwen2.5-1.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B-SFT,
Gensyn/Qwen2.5-1.5B-Instruct,allenai/llama-3.1-tulu-2-8b,
Gensyn/Qwen2.5-1.5B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,
Gensyn/Qwen2.5-1.5B-Instruct,arcee-ai/Meraj-Mini,13.0
Gensyn/Qwen2.5-1.5B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Gensyn/Qwen2.5-1.5B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,13.0
Gensyn/Qwen2.5-1.5B-Instruct,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Gensyn/Qwen2.5-1.5B-Instruct,dnotitia/Smoothie-Qwen3-1.7B,12.0
Gensyn/Qwen2.5-1.5B-Instruct,dphn/Dolphin3.0-Llama3.1-8B,
Gensyn/Qwen2.5-1.5B-Instruct,google/gemma-2-2b,
Gensyn/Qwen2.5-1.5B-Instruct,google/gemma-2-2b-it,
Gensyn/Qwen2.5-1.5B-Instruct,google/gemma-2-2b-jpn-it,
Gensyn/Qwen2.5-1.5B-Instruct,inference-net/Schematron-3B,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Llama-3.1-8B,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Llama-3.1-8B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Llama-3.2-1B,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Llama-3.2-1B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Llama-3.2-3B,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Llama-3.2-3B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Llama-Guard-3-8B,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Meta-Llama-3-8B,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,meta-llama/Meta-Llama-3.2-3B,
Gensyn/Qwen2.5-1.5B-Instruct,microsoft/Phi-3.5-mini-instruct,
Gensyn/Qwen2.5-1.5B-Instruct,microsoft/UserLM-8b,
Gensyn/Qwen2.5-1.5B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,
Gensyn/Qwen2.5-1.5B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,
Gensyn/Qwen2.5-1.5B-Instruct,mistralai/Mistral-7B-v0.1,
Gensyn/Qwen2.5-1.5B-Instruct,mistralai/Mistral-7B-v0.3,
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/DLER-R1-1.5B-Research,
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8,
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,13.0
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B,13.0
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/OpenMath-Nemotron-1.5B,3.0
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/OpenMath2-Llama3.1-8B,
Gensyn/Qwen2.5-1.5B-Instruct,nvidia/OpenReasoning-Nemotron-1.5B,2.0
Gensyn/Qwen2.5-1.5B-Instruct,tiiuae/Falcon3-1B-Base,
Gensyn/Qwen2.5-1.5B-Instruct,tiiuae/Falcon3-1B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Llama-3.1-8B,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Llama-3.2-1B,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Llama-3.2-1B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Llama-3.2-3B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Phi-3.5-mini-instruct,
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-0.5B,13.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,12.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B,2.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,3.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-Math-1.5B,3.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-Math-7B-Instruct,14.0
Gensyn/Qwen2.5-1.5B-Instruct,unsloth/Qwen3-1.7B-Base,13.0
Gensyn/Qwen2.5-7B-Instruct,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,
Gensyn/Qwen2.5-7B-Instruct,Jurema-br/Jurema-7B,2.0
Gensyn/Qwen2.5-7B-Instruct,MLP-KTLim/llama-3-Korean-Bllossom-8B,
Gensyn/Qwen2.5-7B-Instruct,Menlo/AlphaSpace-1.5B,
Gensyn/Qwen2.5-7B-Instruct,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,
Gensyn/Qwen2.5-7B-Instruct,NousResearch/Hermes-2-Pro-Llama-3-8B,
Gensyn/Qwen2.5-7B-Instruct,NousResearch/Hermes-3-Llama-3.1-8B,
Gensyn/Qwen2.5-7B-Instruct,NousResearch/Hermes-3-Llama-3.2-3B,
Gensyn/Qwen2.5-7B-Instruct,NousResearch/Meta-Llama-3-8B,
Gensyn/Qwen2.5-7B-Instruct,PowerInfer/SmallThinker-3B-Preview,14.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2-7B,12.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2-7B-Instruct,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,12.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-1.5B,12.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-3B,12.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-3B-Instruct,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,2.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,1.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,3.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Coder-0.5B,12.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Coder-1.5B,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,14.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Coder-3B,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,14.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Coder-7B,3.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Math-1.5B,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,14.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Math-7B,3.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct,4.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen3-1.7B,12.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen3-1.7B-Base,13.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen3-4B,
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen3-4B-Base,
Gensyn/Qwen2.5-7B-Instruct,SakanaAI/TinySwallow-1.5B,14.0
Gensyn/Qwen2.5-7B-Instruct,Writer/palmyra-mini,13.0
Gensyn/Qwen2.5-7B-Instruct,acon96/Home-Llama-3.2-3B,
Gensyn/Qwen2.5-7B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,
Gensyn/Qwen2.5-7B-Instruct,allenai/Llama-3.1-Tulu-3-8B,
Gensyn/Qwen2.5-7B-Instruct,allenai/Llama-3.1-Tulu-3-8B-DPO,
Gensyn/Qwen2.5-7B-Instruct,allenai/Llama-3.1-Tulu-3-8B-SFT,
Gensyn/Qwen2.5-7B-Instruct,allenai/llama-3.1-tulu-2-8b,
Gensyn/Qwen2.5-7B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,
Gensyn/Qwen2.5-7B-Instruct,arcee-ai/Meraj-Mini,2.0
Gensyn/Qwen2.5-7B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Gensyn/Qwen2.5-7B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,2.0
Gensyn/Qwen2.5-7B-Instruct,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Gensyn/Qwen2.5-7B-Instruct,dnotitia/Smoothie-Qwen3-1.7B,13.0
Gensyn/Qwen2.5-7B-Instruct,dphn/Dolphin3.0-Llama3.1-8B,
Gensyn/Qwen2.5-7B-Instruct,google/gemma-2-2b,
Gensyn/Qwen2.5-7B-Instruct,google/gemma-2-2b-it,
Gensyn/Qwen2.5-7B-Instruct,google/gemma-2-2b-jpn-it,
Gensyn/Qwen2.5-7B-Instruct,inference-net/Schematron-3B,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Llama-3.1-8B,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Llama-3.1-8B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Llama-3.2-1B,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Llama-3.2-1B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Llama-3.2-3B,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Llama-3.2-3B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Llama-Guard-3-8B,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Meta-Llama-3-8B,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,meta-llama/Meta-Llama-3.2-3B,
Gensyn/Qwen2.5-7B-Instruct,microsoft/Phi-3.5-mini-instruct,
Gensyn/Qwen2.5-7B-Instruct,microsoft/UserLM-8b,
Gensyn/Qwen2.5-7B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,
Gensyn/Qwen2.5-7B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,
Gensyn/Qwen2.5-7B-Instruct,mistralai/Mistral-7B-v0.1,
Gensyn/Qwen2.5-7B-Instruct,mistralai/Mistral-7B-v0.3,
Gensyn/Qwen2.5-7B-Instruct,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Gensyn/Qwen2.5-7B-Instruct,nvidia/DLER-R1-1.5B-Research,
Gensyn/Qwen2.5-7B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8,
Gensyn/Qwen2.5-7B-Instruct,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Gensyn/Qwen2.5-7B-Instruct,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,2.0
Gensyn/Qwen2.5-7B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B,2.0
Gensyn/Qwen2.5-7B-Instruct,nvidia/OpenMath-Nemotron-1.5B,14.0
Gensyn/Qwen2.5-7B-Instruct,nvidia/OpenMath2-Llama3.1-8B,
Gensyn/Qwen2.5-7B-Instruct,nvidia/OpenReasoning-Nemotron-1.5B,13.0
Gensyn/Qwen2.5-7B-Instruct,tiiuae/Falcon3-1B-Base,
Gensyn/Qwen2.5-7B-Instruct,tiiuae/Falcon3-1B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Gensyn/Qwen2.5-7B-Instruct,unsloth/Llama-3.1-8B,
Gensyn/Qwen2.5-7B-Instruct,unsloth/Llama-3.2-1B,
Gensyn/Qwen2.5-7B-Instruct,unsloth/Llama-3.2-1B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,unsloth/Llama-3.2-3B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,
Gensyn/Qwen2.5-7B-Instruct,unsloth/Phi-3.5-mini-instruct,
Gensyn/Qwen2.5-7B-Instruct,unsloth/Qwen2.5-0.5B,14.0
Gensyn/Qwen2.5-7B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,13.0
Gensyn/Qwen2.5-7B-Instruct,unsloth/Qwen2.5-1.5B,13.0
Gensyn/Qwen2.5-7B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,14.0
Gensyn/Qwen2.5-7B-Instruct,unsloth/Qwen2.5-Math-1.5B,14.0
Gensyn/Qwen2.5-7B-Instruct,unsloth/Qwen2.5-Math-7B-Instruct,5.0
Gensyn/Qwen2.5-7B-Instruct,unsloth/Qwen3-1.7B-Base,14.0
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,Jurema-br/Jurema-7B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,MLP-KTLim/llama-3-Korean-Bllossom-8B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,Menlo/AlphaSpace-1.5B,
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,
