model_id,base_model,relationship_type,Source,Repo Size (GB),Downloaded on rcs-hdd,Criteria,Comment,,,
Qwen/Qwen3-4B-Thinking-2507,NONE,NONE,paper,,TRUE,,Are these not instruction fine-tuned from a base Qwen model?,,,
Qwen/Qwen3-4B-Thinking-2507-FP8,Qwen/Qwen3-4B-Thinking-2507,quantized,paper,,TRUE,,,,,
S4nfs/Neeto-1.0-8b,NONE,NONE,paper,,TRUE,,,,,
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-1.5B-Instruct,finetune,,,TRUE,,,,,
SciPhi/SciPhi-Mistral-7B-32k,NONE,NONE,paper,,TRUE,,,,,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,NONE,NONE,paper,,TRUE,,,,,
Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B,finetune,paper,,TRUE,,,,,
Tesslate/WEBGEN-4B-Preview,Qwen/Qwen3-4B-Instruct-2507,finetune,paper,,TRUE,,,,,
TheOneWhoWill/Bootstrap-LLM,NONE,NONE,paper,,TRUE,,,,,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,NONE,NONE,paper,,TRUE,,,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,NONE,NONE,paper,,TRUE,,,,,
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,NONE,NONE,paper,,TRUE,,,,,
TinyLlama/TinyLlama_v1.1,NONE,NONE,paper,,TRUE,,,,,
TinyLlama/TinyLlama_v1.1_math_code,NONE,NONE,paper,,TRUE,,,,,
Writer/palmyra-mini,Qwen/Qwen2.5-1.5B,finetune,,,TRUE,,,,,
XiaomiMiMo/MiMo-7B-Base,NONE,NONE,,,TRUE,,,,,
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Qwen/Qwen2.5-7B-Instruct,finetune,paper,,TRUE,,,,,
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,finetune,,,TRUE,,,,,
adamo1139/Apertus-8B-Instruct-2509-ungated,swiss-ai/Apertus-8B-2509,finetune,paper,,TRUE,,,,,
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct,finetune,,,TRUE,,,,,
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,finetune,,,TRUE,,,,,
allenai/OLMoE-1B-7B-0924,NONE,NONE,paper,,TRUE,,,,,
allenai/llama-3.1-tulu-2-8b,meta-llama/Meta-Llama-3.1-8B,finetune,,,TRUE,,,,,
allura-org/Koto-Small-7B-PT,XiaomiMiMo/MiMo-7B-Base,finetune,,,TRUE,,,,,
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Meta-Llama-3.1-8B-Instruct,finetune,,,TRUE,,distilled version of the larger Llama-3.1-405B-Instruct model,,,
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct,finetune,,,TRUE,,,,,
argilla/distilabeled-Marcoro14-7B-slerp,mlabonne/Marcoro14-7B-slerp,finetune,,,TRUE,,,,,
askfjhaskjgh/UbermenschetienASI,NousResearch/Hermes-3-Llama-3.1-8B,,paper,,TRUE,,Missing relationship type,,,
augmxnt/shisa-base-7b-v1,NONE,NONE,paper,,TRUE,,,,,
bardsai/jaskier-7b-dpo-v5.6,NONE,NONE,paper,,TRUE,,,,,
berkeley-nest/Starling-LM-7B-alpha,NONE,NONE,paper,,TRUE,,,,,
beruniy/Llama-3.2-3B-Instruct-Uz,meta-llama/Llama-3.2-3B-Instruct,finetune,paper,,TRUE,,,,,
beyoru/Luna,NONE,NONE,paper,,TRUE,,,,,
bigcode/starcoder2-3b,NONE,NONE,paper,,TRUE,,,,,
bigscience/bloom-560m,NONE,NONE,paper,,TRUE,,,,,
bigscience/bloomz-1b1,NONE,NONE,paper,,TRUE,,,,,
bigscience/bloomz-1b7,NONE,NONE,paper,,TRUE,,,,,
bigscience/bloomz-560m,NONE,NONE,paper,,TRUE,,,,,
bxod/Llama-3.2-1B-Instruct-uz,meta-llama/Llama-3.2-1B-Instruct,finetune,paper,,TRUE,,,,,
chatitcloud/UZI1,google/gemma-3-270m,finetune,paper,,TRUE,,,,,
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Meta-Llama-3.1-8B,quantized,,,TRUE,,,,,
continuedev/instinct,Qwen/Qwen2.5-Coder-7B,finetune,paper,,TRUE,,,,,
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct,finetune,,,TRUE,,,,,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,NONE,NONE,paper,,TRUE,,"These seem to be derived, based on their names",,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,NONE,NONE,paper,,TRUE,,"These seem to be derived, based on their names",,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,NONE,NONE,paper,,TRUE,,"These seem to be derived, based on their names",,,
deepseek-ai/deepseek-coder-1.3b-base,NONE,NONE,paper,,TRUE,,"These seem to be derived, based on their names",,,
dicta-il/dictalm2.0,NONE,NONE,paper,,TRUE,,,,,
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-1.7B,    post-processed ,,,TRUE,,,,,
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,finetune,,,TRUE,,,,,
elyza/Llama-3-ELYZA-JP-8B,NONE,NONE,paper,,TRUE,,,,,
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,NONE,NONE,paper,,TRUE,,,,,
fblgit/UNA-TheBeagle-7b-v1,NONE,NONE,,,TRUE,,,,,
flemmingmiguel/MBX-7B-v3,NONE,NONE,,,TRUE,,,,,
fluently/FluentlyQwen3-1.7B,Qwen/Qwen3-1.7B,finetune,paper,,TRUE,,,,,
google/gemma-2-2b-it,google/gemma-2-2b,finetune,,,TRUE,,,,,
google/gemma-2-2b-jpn-it,google/gemma-2-2b-it,finetune,,,TRUE,,,,,
google/gemma-2b-it,NONE,NONE,paper,,TRUE,,,,,
google/gemma-3-1b-it,google/gemma-3-1b-pt,finetune,paper,,TRUE,,,,,
google/gemma-3-1b-pt,NONE,NONE,,,TRUE,,Known jailbreak susceptibility (https://arxiv.org/html/2602.22242v1),,,
google/gemma-3-270m,NONE,NONE,,,TRUE,,,,,
google/gemma-3-4b-it,google/gemma-3-4b-pt,finetune,paper,,TRUE,,,,,
google/gemma-3-4b-pt,NONE,NONE,,,TRUE,,No known jailbreak susceptibility (https://arxiv.org/html/2602.22242v1),,,
gradientai/Llama-3-8B-Instruct-262k,NONE,NONE,paper,,TRUE,,"These seem to be derived, based on their names",,,
huihui-ai/Huihui-Jan-v1-4B-abliterated,janhq/Jan-v1-4B,finetune,paper,,TRUE,,,,,
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct,finetune,,,TRUE,,,,,
janhq/Jan-v1-4B,Qwen/Qwen3-4B-Thinking-2507,finetune,paper,,TRUE,,,,,
janhq/Jan-v1-edge,Qwen/Qwen3-1.7B,finetune,paper,,TRUE,,,,,
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-7B,finetune,paper,,TRUE,,,,,
kevin009/llamaRAGdrama,NONE,NONE,paper,,TRUE,,,,,
lmsys/vicuna-7b-v1.1,NONE,NONE,paper,,TRUE,,,,,
lmsys/vicuna-7b-v1.5,NONE,NONE,paper,,TRUE,,,,,
lmsys/vicuna-7b-v1.5-16k,NONE,NONE,paper,,TRUE,,,,,
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,finetune,paper,,TRUE,,,,,
meta-llama/Llama-3.2-1B-Instruct,NONE,NONE,paper,,TRUE,,,,,
meta-llama/Llama-3.2-3B-Instruct,NONE,NONE,paper,,TRUE,,(Base model) No known jailbreak susceptibility (https://arxiv.org/html/2602.22242v1),,,
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B,finetune,,,TRUE,,,,,
meta-llama/Llama-3.1-8B,NONE,NONE,,,TRUE,,Known jailbreak susceptibility (https://arxiv.org/html/2602.22242v1),,,
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B,finetune,,,TRUE,,,,,
mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,finetune,paper,,TRUE,,,,,
mistralai/Mistral-7B-v0.1,NONE,NONE,,,TRUE,,No known jailbreak susceptibility (https://arxiv.org/html/2602.22242v1),,,
mlabonne/Beagle14-7B,fblgit/UNA-TheBeagle-7b-v1; argilla/distilabeled-Marcoro14-7B-slerp,merge,,,TRUE,,,,,
mlabonne/Marcoro14-7B-slerp,NONE,NONE,,,TRUE,,,,,
mlabonne/NeuralBeagle14-7B,mlabonne/Beagle14-7B,finetune,,,TRUE,,,,,
mlabonne/OmniBeagle-7B,shadowml/BeagleSempra-7B; shadowml/BeagSake-7B;shadowml/WestBeagle-7B,merge,,,TRUE,,,,,
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct,quantized,,,TRUE,,,,,
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct,finetune,,,TRUE,,,,,
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct,finetune,,,TRUE,,,,,
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B,finetune,,,TRUE,,,,,
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B,finetune,,,TRUE,,,,,
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B,finetune,paper,,TRUE,,,,,
shadowml/BeagSake-7B,shadowml/BeagleSempra-7B; shadowml/WestBeagle-7B,merge,,,TRUE,,,,,
shadowml/BeagleSempra-7B,shadowml/WestBeagle-7B; FelixChao/Sectumsempra-7B-DPO,merge,,,TRUE,,,,,
shadowml/WestBeagle-7B,mlabonne/NeuralBeagle14-7B,merge,,,TRUE,,,,,
swiss-ai/Apertus-8B-2509,NONE,NONE,,,TRUE,,,,,
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B,identical,,,TRUE,,"Unsloth repack of Meta-Llama-3.1-8B-Instruct, not an original fine-tune.",,,
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,identical,,,TRUE,,Missing relationship type; we should also add quantized: https://huggingface.co/unsloth/Llama-3.2-1B-Instruct-GGUF,,,
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,identical,,,TRUE,,Missing relationship type,,,
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,identical,,,TRUE,,Missing relationship type,,,
unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,identical,,,TRUE,,Missing relationship type,,,
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,identical,,,TRUE,,Missing relationship type,,,
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,identical,,,TRUE,,Missing relationship type,,,
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B,identical,,,TRUE,,Missing relationship type,,,
google/gemma-2-2b,NONE,NONE,,,TRUE,,,,,
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,finetune,,,TRUE,,,,,
unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,Qwen/Qwen2.5-0.5B-Instruct,quantized,,,,,,,,
unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,Qwen/Qwen2.5-1.5B,quantized,,,,,,,,
unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,Qwen/Qwen2.5-1.5B-Instruct,quantized,,,,,,,,
unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,Qwen/Qwen2.5-1.5B-Instruct,quantized,,,,,,,,
unsloth/Qwen2.5-Math-1.5B-bnb-4bit,Qwen/Qwen2.5-Math-1.5B,quantized,,,,,,,,
unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
unsloth/Llama-3.2-1B-Instruct-bnb-4bit,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
unsloth/Llama-3.2-3B-Instruct-bnb-4bit,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,quantized,,,,,,,,
llama31_8b_instruct_bf16,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_iq4_nl,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_iq4_xs,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q2_k,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q2_k_l,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q3_k_m,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q3_k_s,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q4_0,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q4_1,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q4_k_m,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q4_k_s,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q5_k_m,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q5_k_s,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q6_k,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_iq1_m,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_iq1_s,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_iq2_m,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_iq2_xxs,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_iq3_xxs,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q2_k_xl,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q3_k_xl,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q4_k_xl,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q5_k_xl,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q6_k_xl,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama31_8b_instruct_q8_k_xl,meta-llama/Llama-3.1-8B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_bf16,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_f16,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_iq4_nl,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_iq4_xs,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q2_k,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q2_k_l,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q3_k_m,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q3_k_s,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q4_0,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q4_1,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q4_k_m,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q4_k_s,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q5_k_m,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q5_k_s,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q6_k,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q8_0,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_iq1_m,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_iq1_s,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_iq2_m,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_iq2_xxs,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_iq3_xxs,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q2_k_xl,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q3_k_xl,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q4_k_xl,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q5_k_xl,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q6_k_xl,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_3b_instruct_q8_k_xl,meta-llama/Llama-3.2-3B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_bf16,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_f16,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_iq4_nl,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_iq4_xs,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q2_k,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q2_k_l,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q3_k_m,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q3_k_s,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q4_0,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q4_1,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q4_k_m,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q4_k_s,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q5_k_m,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
llama32_1b_instruct_q5_k_s,meta-llama/Llama-3.2-1B-Instruct,quantized,,,,,,,,
