model,base_model,base_in_testset,base_in_outliers,hit_rate_eligible
SakanaAI/TinySwallow-1.5B,Qwen/Qwen2.5-1.5B-Instruct,yes,no,yes
SciPhi/SciPhi-Mistral-7B-32k,,no,no,no
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,,no,no,no
Tesslate/UIGEN-X-4B-0729,Qwen/Qwen3-4B,yes,yes,yes
Tesslate/WEBGEN-4B-Preview,Qwen/Qwen3-4B-Instruct-2507,yes,yes,yes
TheOneWhoWill/Bootstrap-LLM,,no,no,no
TinyLlama/TinyLlama-1.1B-Chat-v0.5,,no,no,no
TinyLlama/TinyLlama-1.1B-Chat-v1.0,,no,no,no
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,,no,no,no
TinyLlama/TinyLlama_v1.1,,no,no,no
TinyLlama/TinyLlama_v1.1_math_code,,no,no,no
Writer/palmyra-mini,Qwen/Qwen2.5-1.5B,yes,no,yes
XiaomiMiMo/MiMo-7B-Base,,no,no,no
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Qwen/Qwen2.5-7B-Instruct,yes,yes,yes
acon96/Home-Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
adamo1139/Apertus-8B-Instruct-2509-ungated,swiss-ai/Apertus-8B-2509,yes,yes,yes
aisingapore/Llama-SEA-LION-v3-8B,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,yes,yes,yes
allenai/OLMoE-1B-7B-0924,,no,no,no
allenai/llama-3.1-tulu-2-8b,meta-llama/Llama-3.1-8B,yes,no,yes
allura-org/Koto-Small-7B-PT,XiaomiMiMo/MiMo-7B-Base,yes,yes,yes
arcee-ai/Llama-3.1-SuperNova-Lite,meta-llama/Meta-Llama-3.1-8B-Instruct,no,no,no
arcee-ai/Meraj-Mini,Qwen/Qwen2.5-7B-Instruct,yes,yes,yes
argilla/distilabeled-Marcoro14-7B-slerp,mlabonne/Marcoro14-7B-slerp,yes,yes,yes
askfjhaskjgh/UbermenschetienASI,NousResearch/Hermes-3-Llama-3.1-8B,yes,yes,yes
augmxnt/shisa-base-7b-v1,,no,no,no
bardsai/jaskier-7b-dpo-v5.6,,no,no,no
berkeley-nest/Starling-LM-7B-alpha,,no,no,no
beruniy/Llama-3.2-3B-Instruct-Uz,meta-llama/Llama-3.2-3B-Instruct,yes,no,yes
beyoru/Luna,,no,no,no
bigcode/starcoder2-3b,,no,no,no
bigscience/bloom-560m,,no,no,no
bigscience/bloomz-1b1,,no,no,no
bigscience/bloomz-1b7,,no,no,no
bigscience/bloomz-560m,,no,no,no
bxod/Llama-3.2-1B-Instruct-uz,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
chatitcloud/UZI1,google/gemma-3-270m,yes,yes,yes
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,meta-llama/Llama-3.1-8B,yes,yes,yes
continuedev/instinct,Qwen/Qwen2.5-Coder-7B,yes,yes,yes
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,Qwen/Qwen2.5-7B-Instruct,yes,yes,yes
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,no,no,no
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,,no,no,no
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,,no,no,no
deepseek-ai/deepseek-coder-1.3b-base,,no,no,no
dicta-il/dictalm2.0,,no,no,no
dnotitia/Smoothie-Qwen3-1.7B,Qwen/Qwen3-1.7B,yes,yes,yes
dphn/Dolphin3.0-Llama3.1-8B,meta-llama/Llama-3.1-8B,yes,yes,yes
elyza/Llama-3-ELYZA-JP-8B,,no,no,no
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,,no,no,no
fblgit/UNA-TheBeagle-7b-v1,,no,no,no
flemmingmiguel/MBX-7B-v3,,no,no,no
fluently/FluentlyQwen3-1.7B,Qwen/Qwen3-1.7B,yes,yes,yes
google/gemma-2-2b-it,google/gemma-2-2b,yes,yes,yes
google/gemma-2-2b-jpn-it,google/gemma-2-2b-it,yes,yes,yes
google/gemma-2b-it,,no,no,no
google/gemma-3-1b-it,google/gemma-3-1b-pt,yes,no,yes
google/gemma-3-1b-pt,,no,no,no
google/gemma-3-270m,,no,no,no
google/gemma-3-4b-it,google/gemma-3-4b-pt,yes,yes,yes
google/gemma-3-4b-pt,,no,no,no
gradientai/Llama-3-8B-Instruct-262k,,no,no,no
huihui-ai/Huihui-Jan-v1-4B-abliterated,janhq/Jan-v1-4B,yes,yes,yes
inference-net/Schematron-3B,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
janhq/Jan-v1-4B,Qwen/Qwen3-4B-Thinking-2507,yes,yes,yes
janhq/Jan-v1-edge,Qwen/Qwen3-1.7B,yes,yes,yes
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,Qwen/Qwen2.5-7B,yes,yes,yes
kevin009/llamaRAGdrama,,no,no,no
lmsys/vicuna-7b-v1.1,,no,no,no
lmsys/vicuna-7b-v1.5,,no,no,no
lmsys/vicuna-7b-v1.5-16k,,no,no,no
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,yes,yes,yes
meta-llama/Llama-3.2-1B-Instruct,,no,no,no
meta-llama/Llama-3.2-3B-Instruct,,no,no,no
meta-llama/Llama-Guard-3-8B,meta-llama/Llama-3.1-8B,yes,no,yes
meta-llama/Llama-3.1-8B,,no,no,no
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B,yes,yes,yes
mistralai/Mistral-7B-Instruct-v0.1,mistralai/Mistral-7B-v0.1,yes,yes,yes
mistralai/Mistral-7B-v0.1,,no,no,no
mlabonne/Beagle14-7B,fblgit/UNA-TheBeagle-7b-v1; argilla/distilabeled-Marcoro14-7B-slerp,yes,yes,yes
mlabonne/Marcoro14-7B-slerp,,no,no,no
mlabonne/NeuralBeagle14-7B,mlabonne/Beagle14-7B,yes,yes,yes
mlabonne/OmniBeagle-7B,shadowml/BeagleSempra-7B; shadowml/BeagSake-7B; shadowml/WestBeagle-7B,yes,yes,yes
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct,yes,no,yes
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct,yes,yes,yes
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct,yes,yes,yes
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B,yes,yes,yes
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B,yes,no,yes
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B,yes,yes,yes
shadowml/BeagSake-7B,shadowml/BeagleSempra-7B; shadowml/WestBeagle-7B,yes,yes,yes
shadowml/BeagleSempra-7B,shadowml/WestBeagle-7B; FelixChao/Sectumsempra-7B-DPO,yes,yes,yes
shadowml/WestBeagle-7B,mlabonne/NeuralBeagle14-7B,yes,yes,yes
swiss-ai/Apertus-8B-2509,,no,no,no
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B,yes,yes,yes
unsloth/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
unsloth/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,yes,yes,yes
unsloth/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B,yes,yes,yes
unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,yes,yes,yes
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B,yes,yes,yes
google/gemma-2-2b,,no,no,no
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,yes,yes,yes
unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,Qwen/Qwen2.5-0.5B-Instruct,yes,yes,yes
unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,Qwen/Qwen2.5-1.5B,yes,yes,yes
unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,Qwen/Qwen2.5-1.5B-Instruct,yes,yes,yes
unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,Qwen/Qwen2.5-1.5B-Instruct,yes,yes,yes
unsloth/Qwen2.5-Math-1.5B-bnb-4bit,Qwen/Qwen2.5-Math-1.5B,yes,yes,yes
unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
unsloth/Llama-3.2-1B-Instruct-bnb-4bit,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
unsloth/Llama-3.2-3B-Instruct-bnb-4bit,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,yes,yes,yes
llama31_8b_instruct_iq4_nl,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_iq4_xs,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q2_k,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q2_k_l,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q3_k_m,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q3_k_s,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q4_0,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q4_1,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q4_k_m,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q4_k_s,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_bf16,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q5_k_m,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q5_k_s,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q6_k,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_iq1_m,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_iq1_s,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_iq2_m,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_iq2_xxs,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_iq3_xxs,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q2_k_xl,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q3_k_xl,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q4_k_xl,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q5_k_xl,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q6_k_xl,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama31_8b_instruct_q8_k_xl,meta-llama/Llama-3.1-8B-Instruct,yes,yes,yes
llama32_3b_instruct_bf16,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_f16,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_iq4_nl,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_iq4_xs,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q2_k,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q2_k_l,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q3_k_m,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q3_k_s,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q4_0,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q4_1,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q4_k_m,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q4_k_s,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q5_k_m,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q5_k_s,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q6_k,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q8_0,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_iq1_m,meta-llama/Llama-3.2-3B-Instruct,yes,no,yes
llama32_3b_instruct_iq1_s,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_iq2_m,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_iq2_xxs,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_iq3_xxs,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q2_k_xl,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q3_k_xl,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q4_k_xl,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q5_k_xl,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q6_k_xl,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_3b_instruct_q8_k_xl,meta-llama/Llama-3.2-3B-Instruct,yes,yes,yes
llama32_1b_instruct_bf16,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_f16,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_iq4_nl,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_iq4_xs,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q2_k,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q2_k_l,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q3_k_m,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q3_k_s,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q4_0,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q4_1,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q4_k_m,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q4_k_s,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q5_k_m,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q5_k_s,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q6_k,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q8_0,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_iq1_m,meta-llama/Llama-3.2-1B-Instruct,yes,no,yes
llama32_1b_instruct_iq1_s,meta-llama/Llama-3.2-1B-Instruct,yes,no,yes
llama32_1b_instruct_iq2_m,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_iq2_xxs,meta-llama/Llama-3.2-1B-Instruct,yes,no,yes
llama32_1b_instruct_iq3_xxs,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q2_k_xl,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q3_k_xl,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q4_k_xl,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q5_k_xl,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q6_k_xl,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
llama32_1b_instruct_q8_k_xl,meta-llama/Llama-3.2-1B-Instruct,yes,yes,yes
