model,base_model,cluster_family,n_outliers,n_loosely_related_in_outliers,n_loosely_related_in_universe,precision_outliers_vs_loose,recall_loose_in_universe_captured,loosely_related_outliers,loosely_related_in_universe_not_in_outliers
microsoft/UserLM-8b,meta-llama/Llama-3.1-8B,Llama-3.1-8B,15,12,14,0.8,0.857143,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,Qwen-1.5B,11,6,13,0.545455,0.461538,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
nvidia/OpenMath-Nemotron-1.5B,Qwen/Qwen2.5-Math-1.5B,Qwen-1.5B,8,5,13,0.625,0.384615,Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | Writer/palmyra-mini | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
unsloth/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B,Qwen-1.5B,6,3,13,0.5,0.230769,Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Writer/palmyra-mini,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B,11,1,14,0.090909,0.071429,allenai/llama-3.1-tulu-2-8b,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | meta-llama/Llama-Guard-3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B | unsloth/Meta-Llama-3.1-8B-Instruct
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-7B-Instruct,Qwen-7B,9,8,9,0.888889,0.888889,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-Coder-7B
nvidia/OpenCodeReasoning-Nemotron-7B,Qwen/Qwen2.5-7B-Instruct,Qwen-7B,9,8,9,0.888889,0.888889,Gensyn/Qwen2.5-7B-Instruct | Jurema-br/Jurema-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-7B-Instruct-1M | arcee-ai/Meraj-Mini | cooperleong00/Qwen2.5-7B-Instruct-Jailbroken | nvidia/OpenCodeReasoning-Nemotron-1.1-7B,Qwen/Qwen2.5-Coder-7B
google/gemma-2-2b-it,google/gemma-2-2b,Gemma-2-2B,3,3,3,1.0,1.0,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0 | google/gemma-2-2b | google/gemma-2-2b-jpn-it,
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,Qwen-1.5B,4,2,13,0.5,0.153846,Qwen/Qwen2.5-Coder-1.5B | nvidia/OpenReasoning-Nemotron-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-Math-1.5B
nvidia/OpenMath2-Llama3.1-8B,meta-llama/Llama-3.1-8B,Llama-3.1-8B,10,8,14,0.8,0.571429,aisingapore/Llama-SEA-LION-v3-8B | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Meta-Llama-3.1-8B-Instruct,NousResearch/Hermes-3-Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-3.1-8B | meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8 | unsloth/Llama-3.1-8B
unsloth/Llama-3.1-8B,meta-llama/Llama-3.1-8B,Llama-3.1-8B,16,11,14,0.6875,0.785714,NousResearch/Hermes-3-Llama-3.1-8B | aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8 | nvidia/OpenMath2-Llama3.1-8B
unsloth/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,Llama-3.2-3B,8,4,4,0.5,1.0,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct,
unsloth/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,Llama-3.1-8B,20,11,14,0.55,0.785714,aisingapore/Llama-SEA-LION-v3-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | allenai/llama-3.1-tulu-2-8b | arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | dphn/Dolphin3.0-Llama3.1-8B | meta-llama/Llama-3.1-8B | meta-llama/Llama-3.1-8B-Instruct | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | unsloth/Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.1-8B | meta-llama/Llama-Guard-3-8B | nvidia/Llama-3.1-8B-Instruct-FP8
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-1.5B,Qwen-1.5B,10,3,13,0.3,0.230769,Qwen/Qwen2.5-Coder-1.5B-Instruct | Writer/palmyra-mini | unsloth/Qwen2.5-Math-1.5B,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | nvidia/OpenMath-Nemotron-1.5B | nvidia/OpenReasoning-Nemotron-1.5B | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,google/gemma-2-2b,Gemma-2-2B,3,3,3,1.0,1.0,google/gemma-2-2b | google/gemma-2-2b-it | google/gemma-2-2b-jpn-it,
nvidia/OpenReasoning-Nemotron-1.5B,Qwen/Qwen2.5-1.5B,Qwen-1.5B,6,5,13,0.833333,0.384615,Gensyn/Qwen2.5-1.5B-Instruct | Qwen/Qwen2.5-1.5B | Qwen/Qwen2.5-1.5B-Instruct | unsloth/Qwen2.5-1.5B | unsloth/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B | Qwen/Qwen2.5-Coder-1.5B-Instruct | Qwen/Qwen2.5-Math-1.5B | Qwen/Qwen2.5-Math-1.5B-Instruct | SakanaAI/TinySwallow-1.5B | Writer/palmyra-mini | nvidia/OpenMath-Nemotron-1.5B | unsloth/Qwen2.5-Math-1.5B
_SUMMARY_,,,502,302,480,0.601594,0.629167,micro_TP=302_pred=502_gold_universe_sum=480,rows_with_loose_peer_in_universe=50
