base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
qgallouedec/Qwen2.5-0.5B-codeforces-SFT,Qwen/Qwen2.5-0.5B,5,0.990625,2000,"[1.0, 1.0, 0.96875, 0.984375, 1.0]"
hZzy/qwen2.5-0.5b-sft2-25-1,Qwen/Qwen2.5-0.5B,5,0.1875,2000,"[0.9375, 0.0, 0.0, 0.0, 0.0]"
hZzy/qwen2.5-0.5b-sft3-25-1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
akhadangi/Qwen2.5-0.5B-0.01-L,Qwen/Qwen2.5-0.5B,5,0.8,2000,"[1.0, 0.0, 1.0, 1.0, 1.0]"
akhadangi/Qwen2.5-0.5B-0.1-L,Qwen/Qwen2.5-0.5B,5,0.996875,2000,"[1.0, 1.0, 0.984375, 1.0, 1.0]"
JayHyeon/Qwen2.5-0.5B_ultrainteract_sft_2e-5_1ep,Qwen/Qwen2.5-0.5B,5,0.403125,2000,"[0.015625, 0.984375, 0.015625, 0.0, 1.0]"
conorbranagan/outputs,Qwen/Qwen2.5-0.5B,5,0.5125,2000,"[1.0, 1.0, 0.015625, 0.515625, 0.03125]"
conorbranagan/Qwen2.5-0.5B-fake-news,Qwen/Qwen2.5-0.5B,5,0.40625,2000,"[1.0, 0.015625, 0.0, 1.0, 0.015625]"
alamios/Qwenstral-Small-3.1-0.5B,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alamios/QwQwen-0.5B,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
alamios/QwenSeek-R1-32B-0.5B,Qwen/Qwen2.5-0.5B,5,0.39375,2000,"[1.0, 0.0, 0.96875, 0.0, 0.0]"
YOYO-AI/Qwen2.5-0.5B-YOYO,Qwen/Qwen2.5-0.5B,5,0.796875,2000,"[0.0, 1.0, 1.0, 0.984375, 1.0]"
genovalabs/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,5,0.8,2000,"[1.0, 1.0, 1.0, 0.0, 1.0]"
eagle0504/fine-tuned-Qwen2.5-0.5B-openai-gsm8k-enhanced-v1,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
alamios/Qwemma-3-0.5B,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Bakanayatsu/runner-Qwen2.5-0.5B-v1,Qwen/Qwen2.5-0.5B,5,0.003125,2000,"[0.0, 0.0, 0.015625, 0.0, 0.0]"
Gensyn/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,5,0.8,2000,"[1.0, 0.0, 1.0, 1.0, 1.0]"
rdsm/QwenPhi-4-0.5b-Draft,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
YumeAyai/nailong,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
thundax/Qwen2.5-0.5B-Sign,Qwen/Qwen2.5-0.5B,5,0.596875,2000,"[1.0, 0.0, 0.0, 1.0, 0.984375]"
Vikhrmodels/salt-qwen2.5-0.5b-tts,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
bedobedo/Qwen2.5-0.5B-Instruct-Dir,Qwen/Qwen2.5-0.5B,5,0.8,2000,"[0.0, 1.0, 1.0, 1.0, 1.0]"
liumy2010/Qwen2.5-0.5B-countdown-SFT,Qwen/Qwen2.5-0.5B,5,0.896875,2000,"[1.0, 1.0, 0.5, 0.984375, 1.0]"
liumy2010/Qwen2.5-0.5B-math-SFT,Qwen/Qwen2.5-0.5B,5,0.5,2000,"[0.5, 1.0, 0.0, 0.0, 1.0]"
liumy2010/Qwen2.5-0.5B-kk_logic-SFT,Qwen/Qwen2.5-0.5B,5,0.803125,2000,"[1.0, 1.0, 1.0, 0.015625, 1.0]"
liumy2010/Qwen2.5-0.5B-countdown-RFT,Qwen/Qwen2.5-0.5B,5,0.796875,2000,"[1.0, 0.984375, 1.0, 0.0, 1.0]"
liumy2010/Qwen2.5-0.5B-countdown-SFT-RFT,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
liumy2010/Qwen2.5-0.5B-countdown-UFT,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
liumy2010/Qwen2.5-0.5B-countdown-R3,Qwen/Qwen2.5-0.5B,5,0.8,2000,"[1.0, 1.0, 0.0, 1.0, 1.0]"
Aleksandr505/phishing-text-classifier-qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,5,0.1375,2000,"[0.0, 0.0, 0.0, 0.03125, 0.65625]"
JayHyeon/Qwen2.5-0.5B_ultrainteract_sft_1e-5_1ep-ultrainteract,Qwen/Qwen2.5-0.5B,5,0.60625,2000,"[0.0, 0.03125, 1.0, 1.0, 1.0]"
liumy2010/Qwen2.5-0.5B-math-SFT-RFT,Qwen/Qwen2.5-0.5B,5,0.803125,2000,"[0.015625, 1.0, 1.0, 1.0, 1.0]"
DexinR/qwen2.5-math220k-ckpt15000,Qwen/Qwen2.5-0.5B,5,0.796875,2000,"[0.984375, 1.0, 0.0, 1.0, 1.0]"
Silin1590/Qwen-0d5B-Int-Soc-CoA,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Silin1590/Qwen-0d5B-Int-CoT,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Vikhrmodels/salt-qwen2.5-0.5b-asr,Qwen/Qwen2.5-0.5B,5,0.096875,2000,"[0.0, 0.0, 0.484375, 0.0, 0.0]"
stpete2/Qwen2.5-0.5b-gsm8k-drgrpocppo,Qwen/Qwen2.5-0.5B,5,0.865625,2000,"[0.328125, 1.0, 1.0, 1.0, 1.0]"
sarad777/xmodel777,Qwen/Qwen2.5-0.5B,5,0.803125,2000,"[1.0, 1.0, 1.0, 1.0, 0.015625]"
Vikhrmodels/salt-qwen2.5-0.5b-asr-tts,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Silin1590/Qwen-0d5B-Int-Soc-CoA-Fg,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
stpete2/Qwen2.5-0.5B-gsm8k-sft,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
