index,model_id,cluster_id,family,cluster_size_json,cluster_size_clean,base_model,in_llm_dna_305
100,aisingapore/Llama-SEA-LION-v3-8B,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B-Instruct,false
101,allenai/Llama-3.1-Tulu-3-8B-SFT,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
102,allenai/OLMoE-1B-7B-0924,68,OLMoE-1B-7B-0924,1,1,,true
103,allenai/llama-3.1-tulu-2-8b,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
104,allura-org/Koto-Small-7B-PT,9,MiMo-7B-Base,3,3,XiaomiMiMo/MiMo-7B-Base,false
105,arcee-ai/Llama-3.1-SuperNova-Lite,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B-Instruct,false
106,arcee-ai/Meraj-Mini,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B-Instruct,false
107,argilla/distilabeled-Marcoro14-7B-slerp,24,Marcoro14-7B-slerp,2,2,mlabonne/Marcoro14-7B-slerp,false
108,askfjhaskjgh/UbermenschetienASI,2,Meta-Llama-3.1-8B,16,16,NousResearch/Hermes-3-Llama-3.1-8B,true
109,augmxnt/shisa-base-7b-v1,69,shisa-base-7b-v1,1,1,,true
110,bardsai/jaskier-7b-dpo-v5.6,70,jaskier-7b-dpo-v5.6,1,1,,true
111,berkeley-nest/Starling-LM-7B-alpha,71,Starling-LM-7B-alpha,1,1,,true
112,beruniy/Llama-3.2-3B-Instruct-Uz,5,Llama-3.2-3B-Instruct,6,6,meta-llama/Llama-3.2-3B-Instruct,true
113,beyoru/Luna,72,Luna,1,1,,true
114,bigcode/starcoder2-3b,73,starcoder2-3b,1,1,,true
115,bigscience/bloom-560m,74,bloom-560m,1,1,,true
116,bigscience/bloomz-1b1,75,bloomz-1b1,1,1,,true
117,bigscience/bloomz-1b7,76,bloomz-1b7,1,1,,true
118,bigscience/bloomz-560m,77,bloomz-560m,1,1,,true
119,bxod/Llama-3.2-1B-Instruct-uz,14,Llama-3.2-1B-Instruct,3,3,meta-llama/Llama-3.2-1B-Instruct,true
120,chatitcloud/UZI1,25,gemma-3-270m,2,2,google/gemma-3-270m,true
121,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
122,continuedev/instinct,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-Coder-7B,true
123,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B-Instruct,false
124,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,78,DeepSeek-R1-Distill-Llama-8B,1,1,,true
125,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,79,DeepSeek-R1-Distill-Qwen-1.5B,1,1,,true
126,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,80,DeepSeek-R1-Distill-Qwen-7B,1,1,,true
127,deepseek-ai/deepseek-coder-1.3b-base,81,deepseek-coder-1.3b-base,1,1,,true
128,dicta-il/dictalm2.0,82,dictalm2.0,1,1,,true
129,dnotitia/Smoothie-Qwen3-1.7B,7,Qwen3-1.7B-Base,5,5,Qwen/Qwen3-1.7B,false
130,dphn/Dolphin3.0-Llama3.1-8B,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
131,elyza/Llama-3-ELYZA-JP-8B,83,Llama-3-ELYZA-JP-8B,1,1,,true
132,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,84,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,1,1,,true
133,fblgit/UNA-TheBeagle-7b-v1,4,UNA-TheBeagle-7b-v1,8,8,,false
134,flemmingmiguel/MBX-7B-v3,85,MBX-7B-v3,1,1,,false
135,fluently/FluentlyQwen3-1.7B,7,Qwen3-1.7B-Base,5,5,Qwen/Qwen3-1.7B,true
136,google/gemma-2-2b-it,10,gemma-2-2b-it,3,3,google/gemma-2-2b,false
137,google/gemma-2-2b-jpn-it,10,gemma-2-2b-it,3,3,google/gemma-2-2b-it,false
138,google/gemma-2b-it,86,gemma-2b-it,1,1,,true
139,google/gemma-3-1b-it,26,gemma-3-1b-pt,2,2,google/gemma-3-1b-pt,true
140,google/gemma-3-1b-pt,26,gemma-3-1b-pt,2,2,,false
141,google/gemma-3-270m,25,gemma-3-270m,2,2,,false
142,google/gemma-3-4b-it,27,gemma-3-4b-pt,2,2,google/gemma-3-4b-pt,true
143,google/gemma-3-4b-pt,27,gemma-3-4b-pt,2,2,,false
144,gradientai/Llama-3-8B-Instruct-262k,87,Llama-3-8B-Instruct-262k,1,1,,true
145,huihui-ai/Huihui-Jan-v1-4B-abliterated,8,Qwen3-4B-Thinking-2507,4,4,janhq/Jan-v1-4B,true
146,inference-net/Schematron-3B,5,Llama-3.2-3B-Instruct,6,6,meta-llama/Llama-3.2-3B-Instruct,false
147,janhq/Jan-v1-4B,8,Qwen3-4B-Thinking-2507,4,4,Qwen/Qwen3-4B-Thinking-2507,true
148,janhq/Jan-v1-edge,7,Qwen3-1.7B-Base,5,5,Qwen/Qwen3-1.7B,true
149,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B,true
150,kevin009/llamaRAGdrama,88,llamaRAGdrama,1,1,,true
151,lmsys/vicuna-7b-v1.1,89,vicuna-7b-v1.1,1,1,,true
152,lmsys/vicuna-7b-v1.5,90,vicuna-7b-v1.5,1,1,,true
153,lmsys/vicuna-7b-v1.5-16k,91,vicuna-7b-v1.5-16k,1,1,,true
154,meta-llama/Llama-3.1-8B-Instruct,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,true
155,meta-llama/Llama-3.2-1B-Instruct,14,Llama-3.2-1B-Instruct,3,3,,true
156,meta-llama/Llama-3.2-3B-Instruct,5,Llama-3.2-3B-Instruct,6,6,,true
157,meta-llama/Llama-Guard-3-8B,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
158,meta-llama/Llama-3.1-8B,2,Meta-Llama-3.1-8B,16,16,,false
159,microsoft/UserLM-8b,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
160,mistralai/Mistral-7B-Instruct-v0.1,6,Mistral-7B-v0.1,5,5,mistralai/Mistral-7B-v0.1,true
161,mistralai/Mistral-7B-v0.1,6,Mistral-7B-v0.1,5,5,,false
162,mlabonne/Beagle14-7B,4,UNA-TheBeagle-7b-v1,8,8,fblgit/UNA-TheBeagle-7b-v1,false
163,mlabonne/Marcoro14-7B-slerp,24,Marcoro14-7B-slerp,2,2,,false
164,mlabonne/NeuralBeagle14-7B,4,UNA-TheBeagle-7b-v1,8,8,mlabonne/Beagle14-7B,false
165,mlabonne/OmniBeagle-7B,4,UNA-TheBeagle-7b-v1,8,8,shadowml/BeagleSempra-7B,false
166,nvidia/Llama-3.1-8B-Instruct-FP8,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B-Instruct,false
167,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B-Instruct,false
168,nvidia/OpenCodeReasoning-Nemotron-7B,1,Qwen2.5-7B,17,17,Qwen/Qwen2.5-7B-Instruct,false
169,nvidia/OpenMath-Nemotron-1.5B,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-Math-1.5B,false
170,nvidia/OpenMath2-Llama3.1-8B,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
171,nvidia/OpenReasoning-Nemotron-1.5B,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B,true
172,shadowml/BeagSake-7B,4,UNA-TheBeagle-7b-v1,8,8,shadowml/BeagleSempra-7B,false
173,shadowml/BeagleSempra-7B,4,UNA-TheBeagle-7b-v1,8,8,shadowml/WestBeagle-7B,false
174,shadowml/WestBeagle-7B,4,UNA-TheBeagle-7b-v1,8,8,mlabonne/NeuralBeagle14-7B,false
175,swiss-ai/Apertus-8B-2509,23,Apertus-8B-2509,2,2,,false
176,unsloth/Llama-3.1-8B,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B,false
177,unsloth/Llama-3.2-1B-Instruct,14,Llama-3.2-1B-Instruct,3,3,meta-llama/Llama-3.2-1B-Instruct,false
178,unsloth/Llama-3.2-3B-Instruct,5,Llama-3.2-3B-Instruct,6,6,meta-llama/Llama-3.2-3B-Instruct,false
179,unsloth/Meta-Llama-3.1-8B-Instruct,2,Meta-Llama-3.1-8B,16,16,meta-llama/Llama-3.1-8B-Instruct,false
180,unsloth/Qwen2.5-0.5B-Instruct,12,Qwen2.5-0.5B,3,3,Qwen/Qwen2.5-0.5B-Instruct,false
181,unsloth/Qwen2.5-1.5B,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B,false
182,unsloth/Qwen2.5-1.5B-Instruct,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-1.5B-Instruct,false
183,unsloth/Qwen2.5-Math-1.5B,3,Qwen2.5-1.5B,14,14,Qwen/Qwen2.5-Math-1.5B,false
