index,model_id,strict_cluster_id,strict_family,loose_family_id,loose_family,loose_family_size,loose_mapping_source
30,HuggingFaceH4/zephyr-7b-beta,6,Mistral-7B-v0.1,4,Mistral,9,strict_root:name_rule:Mistral
31,HuggingFaceTB/SmolLM-135M,46,SmolLM-135M,10,SmolLM,4,strict_root:name_rule:SmolLM
32,HuggingFaceTB/SmolLM2-135M,47,SmolLM2-135M,10,SmolLM,4,strict_root:name_rule:SmolLM
33,HuggingFaceTB/SmolLM3-3B,18,SmolLM3-3B-Base,10,SmolLM,4,strict_root:name_rule:SmolLM
34,HuggingFaceTB/SmolLM3-3B-Base,18,SmolLM3-3B-Base,10,SmolLM,4,strict_root:name_rule:SmolLM
35,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,10,gemma-2-2b-it,3,Gemma,10,strict_root:name_rule:Gemma
36,Intel/neural-chat-7b-v3-1,6,Mistral-7B-v0.1,4,Mistral,9,strict_root:name_rule:Mistral
37,Intel/neural-chat-7b-v3-3,6,Mistral-7B-v0.1,4,Mistral,9,strict_root:name_rule:Mistral
38,Jurema-br/Jurema-7B,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
39,KoboldAI/GPT-Neo-2.7B-Horni-LN,48,GPT-Neo-2.7B-Horni-LN,27,GPT-Neo-2.7B-Horni-LN,1,strict_root:fallback:root_tail
40,LGAI-EXAONE/EXAONE-4.0-1.2B,49,EXAONE-4.0-1.2B,28,EXAONE,1,strict_root:name_rule:EXAONE
41,LiquidAI/LFM2-1.2B,50,LFM2-1.2B,17,LFM2,2,strict_root:name_rule:LFM2
42,LiquidAI/LFM2-350M,51,LFM2-350M,17,LFM2,2,strict_root:name_rule:LFM2
43,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,5,Llama-3.2-3B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
44,Nexusflow/Starling-LM-7B-beta,52,Starling-LM-7B-beta,29,Starling-LM-7B-beta,1,strict_root:fallback:root_tail
45,NinedayWang/PolyCoder-2.7B,53,PolyCoder-2.7B,30,PolyCoder,1,strict_root:name_rule:PolyCoder
46,NousResearch/Hermes-3-Llama-3.1-8B,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
47,PharMolix/BioMedGPT-LM-7B,54,BioMedGPT-LM-7B,31,BioMedGPT-LM-7B,1,strict_root:fallback:root_tail
48,PowerInfer/SmallThinker-3B-Preview,11,Qwen2.5-3B,1,Qwen,63,strict_root:name_rule:Qwen
49,PygmalionAI/pygmalion-2.7b,55,pygmalion-2.7b,32,pygmalion-2.7b,1,strict_root:fallback:root_tail
50,Qwen/Qwen1.5-0.5B-Chat,56,Qwen1.5-0.5B-Chat,1,Qwen,63,strict_root:name_rule:Qwen
51,Qwen/Qwen1.5-4B-Chat,57,Qwen1.5-4B-Chat,1,Qwen,63,strict_root:name_rule:Qwen
52,Qwen/Qwen2-0.5B,19,Qwen2-0.5B,1,Qwen,63,strict_root:name_rule:Qwen
53,Qwen/Qwen2-0.5B-Instruct,19,Qwen2-0.5B,1,Qwen,63,strict_root:name_rule:Qwen
54,Qwen/Qwen2-7B,20,Qwen2-7B,1,Qwen,63,strict_root:name_rule:Qwen
55,Qwen/Qwen2-7B-Instruct,20,Qwen2-7B,1,Qwen,63,strict_root:name_rule:Qwen
56,Qwen/Qwen2.5-0.5B,12,Qwen2.5-0.5B,1,Qwen,63,strict_root:name_rule:Qwen
57,Qwen/Qwen2.5-0.5B-Instruct,12,Qwen2.5-0.5B,1,Qwen,63,strict_root:name_rule:Qwen
58,Qwen/Qwen2.5-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
59,Qwen/Qwen2.5-1.5B-Instruct,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
60,Qwen/Qwen2.5-3B,11,Qwen2.5-3B,1,Qwen,63,strict_root:name_rule:Qwen
61,Qwen/Qwen2.5-3B-Instruct,11,Qwen2.5-3B,1,Qwen,63,strict_root:name_rule:Qwen
62,Qwen/Qwen2.5-7B,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
63,Qwen/Qwen2.5-7B-Instruct,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
64,Qwen/Qwen2.5-7B-Instruct-1M,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
65,Qwen/Qwen2.5-Coder-0.5B-Instruct,58,Qwen2.5-Coder-0.5B-Instruct,1,Qwen,63,strict_root:name_rule:Qwen
66,Qwen/Qwen2.5-Coder-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
67,Qwen/Qwen2.5-Coder-1.5B-Instruct,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
68,Qwen/Qwen2.5-Coder-7B,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
69,Qwen/Qwen2.5-Coder-7B-Instruct,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
70,Qwen/Qwen2.5-Math-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
71,Qwen/Qwen2.5-Math-1.5B-Instruct,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
72,Qwen/Qwen2.5-Math-7B,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
73,Qwen/Qwen2.5-Math-7B-Instruct,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
74,Qwen/Qwen3-0.6B,21,Qwen3-0.6B-Base,1,Qwen,63,strict_root:name_rule:Qwen
75,Qwen/Qwen3-0.6B-Base,21,Qwen3-0.6B-Base,1,Qwen,63,strict_root:name_rule:Qwen
76,Qwen/Qwen3-1.7B,7,Qwen3-1.7B-Base,1,Qwen,63,strict_root:name_rule:Qwen
77,Qwen/Qwen3-1.7B-Base,7,Qwen3-1.7B-Base,1,Qwen,63,strict_root:name_rule:Qwen
78,Qwen/Qwen3-4B,13,Qwen3-4B-Base,1,Qwen,63,strict_root:name_rule:Qwen
79,Qwen/Qwen3-4B-Base,13,Qwen3-4B-Base,1,Qwen,63,strict_root:name_rule:Qwen
80,Qwen/Qwen3-4B-Instruct-2507,22,Qwen3-4B-Instruct-2507,1,Qwen,63,strict_root:name_rule:Qwen
81,Qwen/Qwen3-4B-Thinking-2507,8,Qwen3-4B-Thinking-2507,1,Qwen,63,strict_root:name_rule:Qwen
82,Qwen/Qwen3-4B-Thinking-2507-FP8,8,Qwen3-4B-Thinking-2507,1,Qwen,63,strict_root:name_rule:Qwen
83,S4nfs/Neeto-1.0-8b,59,Neeto-1.0-8b,33,Neeto-1.0-8b,1,strict_root:fallback:root_tail
84,SakanaAI/TinySwallow-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
85,SciPhi/SciPhi-Mistral-7B-32k,60,SciPhi-Mistral-7B-32k,4,Mistral,9,strict_root:name_rule:Mistral
86,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,61,SciPhi-Self-RAG-Mistral-7B-32k,4,Mistral,9,strict_root:name_rule:Mistral
87,Tesslate/UIGEN-X-4B-0729,13,Qwen3-4B-Base,1,Qwen,63,strict_root:name_rule:Qwen
88,Tesslate/WEBGEN-4B-Preview,22,Qwen3-4B-Instruct-2507,1,Qwen,63,strict_root:name_rule:Qwen
89,TheOneWhoWill/Bootstrap-LLM,62,Bootstrap-LLM,34,Bootstrap-LLM,1,strict_root:fallback:root_tail
90,TinyLlama/TinyLlama-1.1B-Chat-v0.5,63,TinyLlama-1.1B-Chat-v0.5,8,TinyLlama,5,strict_root:name_rule:TinyLlama
91,TinyLlama/TinyLlama-1.1B-Chat-v1.0,64,TinyLlama-1.1B-Chat-v1.0,8,TinyLlama,5,strict_root:name_rule:TinyLlama
92,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,65,TinyLlama-1.1B-intermediate-step-1431k-3T,8,TinyLlama,5,strict_root:name_rule:TinyLlama
93,TinyLlama/TinyLlama_v1.1,66,TinyLlama_v1.1,8,TinyLlama,5,strict_root:name_rule:TinyLlama
94,TinyLlama/TinyLlama_v1.1_math_code,67,TinyLlama_v1.1_math_code,8,TinyLlama,5,strict_root:name_rule:TinyLlama
95,Writer/palmyra-mini,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
96,XiaomiMiMo/MiMo-7B-Base,9,MiMo-7B-Base,13,MiMo,3,strict_root:name_rule:MiMo
97,abocide/Qwen2.5-7B-Instruct-R1-forfinance,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
98,acon96/Home-Llama-3.2-3B,5,Llama-3.2-3B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
99,adamo1139/Apertus-8B-Instruct-2509-ungated,23,Apertus-8B-2509,18,Apertus,2,strict_root:name_rule:Apertus
100,aisingapore/Llama-SEA-LION-v3-8B,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
101,allenai/Llama-3.1-Tulu-3-8B-SFT,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
102,allenai/OLMoE-1B-7B-0924,68,OLMoE-1B-7B-0924,35,OLMoE,1,strict_root:name_rule:OLMoE
103,allenai/llama-3.1-tulu-2-8b,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
104,allura-org/Koto-Small-7B-PT,9,MiMo-7B-Base,13,MiMo,3,strict_root:name_rule:MiMo
105,arcee-ai/Llama-3.1-SuperNova-Lite,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
106,arcee-ai/Meraj-Mini,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
107,argilla/distilabeled-Marcoro14-7B-slerp,24,Marcoro14-7B-slerp,19,Marcoro14-7B-slerp,2,strict_root:fallback:root_tail
108,askfjhaskjgh/UbermenschetienASI,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
109,augmxnt/shisa-base-7b-v1,69,shisa-base-7b-v1,36,shisa-base-7b-v1,1,strict_root:fallback:root_tail
110,bardsai/jaskier-7b-dpo-v5.6,70,jaskier-7b-dpo-v5.6,37,jaskier-7b-dpo-v5.6,1,strict_root:fallback:root_tail
111,berkeley-nest/Starling-LM-7B-alpha,71,Starling-LM-7B-alpha,38,Starling-LM-7B-alpha,1,strict_root:fallback:root_tail
112,beruniy/Llama-3.2-3B-Instruct-Uz,5,Llama-3.2-3B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
113,beyoru/Luna,72,Luna,39,Luna,1,strict_root:fallback:root_tail
114,bigcode/starcoder2-3b,73,starcoder2-3b,40,StarCoder,1,strict_root:name_rule:StarCoder
115,bigscience/bloom-560m,74,bloom-560m,11,Bloom,4,strict_root:name_rule:Bloom
116,bigscience/bloomz-1b1,75,bloomz-1b1,11,Bloom,4,strict_root:name_rule:Bloom
117,bigscience/bloomz-1b7,76,bloomz-1b7,11,Bloom,4,strict_root:name_rule:Bloom
118,bigscience/bloomz-560m,77,bloomz-560m,11,Bloom,4,strict_root:name_rule:Bloom
119,bxod/Llama-3.2-1B-Instruct-uz,14,Llama-3.2-1B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
120,chatitcloud/UZI1,25,gemma-3-270m,3,Gemma,10,strict_root:name_rule:Gemma
121,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
122,continuedev/instinct,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
123,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
124,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,78,DeepSeek-R1-Distill-Llama-8B,14,DeepSeek,3,strict_root:name_rule:DeepSeek
125,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,79,DeepSeek-R1-Distill-Qwen-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
126,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,80,DeepSeek-R1-Distill-Qwen-7B,1,Qwen,63,strict_root:name_rule:Qwen
127,deepseek-ai/deepseek-coder-1.3b-base,81,deepseek-coder-1.3b-base,14,DeepSeek,3,strict_root:name_rule:DeepSeek
128,dicta-il/dictalm2.0,82,dictalm2.0,41,DictaLM,1,strict_root:name_rule:DictaLM
129,dnotitia/Smoothie-Qwen3-1.7B,7,Qwen3-1.7B-Base,1,Qwen,63,strict_root:name_rule:Qwen
130,dphn/Dolphin3.0-Llama3.1-8B,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
131,elyza/Llama-3-ELYZA-JP-8B,83,Llama-3-ELYZA-JP-8B,42,Llama-3-ELYZA-JP-8B,1,strict_root:fallback:root_tail
132,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,84,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,43,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,1,strict_root:fallback:root_tail
133,fblgit/UNA-TheBeagle-7b-v1,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
134,flemmingmiguel/MBX-7B-v3,85,MBX-7B-v3,44,MBX-7B-v3,1,strict_root:fallback:root_tail
135,fluently/FluentlyQwen3-1.7B,7,Qwen3-1.7B-Base,1,Qwen,63,strict_root:name_rule:Qwen
136,google/gemma-2-2b-it,10,gemma-2-2b-it,3,Gemma,10,strict_root:name_rule:Gemma
137,google/gemma-2-2b-jpn-it,10,gemma-2-2b-it,3,Gemma,10,strict_root:name_rule:Gemma
138,google/gemma-2b-it,86,gemma-2b-it,3,Gemma,10,strict_root:name_rule:Gemma
139,google/gemma-3-1b-it,26,gemma-3-1b-pt,3,Gemma,10,strict_root:name_rule:Gemma
140,google/gemma-3-1b-pt,26,gemma-3-1b-pt,3,Gemma,10,strict_root:name_rule:Gemma
141,google/gemma-3-270m,25,gemma-3-270m,3,Gemma,10,strict_root:name_rule:Gemma
142,google/gemma-3-4b-it,27,gemma-3-4b-pt,3,Gemma,10,strict_root:name_rule:Gemma
143,google/gemma-3-4b-pt,27,gemma-3-4b-pt,3,Gemma,10,strict_root:name_rule:Gemma
144,gradientai/Llama-3-8B-Instruct-262k,87,Llama-3-8B-Instruct-262k,45,Llama-3-8B-Instruct-262k,1,strict_root:fallback:root_tail
145,huihui-ai/Huihui-Jan-v1-4B-abliterated,8,Qwen3-4B-Thinking-2507,1,Qwen,63,strict_root:name_rule:Qwen
146,inference-net/Schematron-3B,5,Llama-3.2-3B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
147,janhq/Jan-v1-4B,8,Qwen3-4B-Thinking-2507,1,Qwen,63,strict_root:name_rule:Qwen
148,janhq/Jan-v1-edge,7,Qwen3-1.7B-Base,1,Qwen,63,strict_root:name_rule:Qwen
149,jiawei-ucas/Qwen-2.5-7B-ConsistentChat,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
150,kevin009/llamaRAGdrama,88,llamaRAGdrama,46,llamaRAGdrama,1,strict_root:fallback:root_tail
151,lmsys/vicuna-7b-v1.1,89,vicuna-7b-v1.1,7,Vicuna,5,strict_root:name_rule:Vicuna
152,lmsys/vicuna-7b-v1.5,90,vicuna-7b-v1.5,7,Vicuna,5,strict_root:name_rule:Vicuna
153,lmsys/vicuna-7b-v1.5-16k,91,vicuna-7b-v1.5-16k,7,Vicuna,5,strict_root:name_rule:Vicuna
154,meta-llama/Llama-3.1-8B-Instruct,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
155,meta-llama/Llama-3.2-1B-Instruct,14,Llama-3.2-1B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
156,meta-llama/Llama-3.2-3B-Instruct,5,Llama-3.2-3B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
157,meta-llama/Llama-Guard-3-8B,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
158,meta-llama/Llama-3.1-8B,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
159,microsoft/UserLM-8b,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
160,mistralai/Mistral-7B-Instruct-v0.1,6,Mistral-7B-v0.1,4,Mistral,9,strict_root:name_rule:Mistral
161,mistralai/Mistral-7B-v0.1,6,Mistral-7B-v0.1,4,Mistral,9,strict_root:name_rule:Mistral
162,mlabonne/Beagle14-7B,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
163,mlabonne/Marcoro14-7B-slerp,24,Marcoro14-7B-slerp,19,Marcoro14-7B-slerp,2,strict_root:fallback:root_tail
164,mlabonne/NeuralBeagle14-7B,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
165,mlabonne/OmniBeagle-7B,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
166,nvidia/Llama-3.1-8B-Instruct-FP8,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
167,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
168,nvidia/OpenCodeReasoning-Nemotron-7B,1,Qwen2.5-7B,1,Qwen,63,strict_root:name_rule:Qwen
169,nvidia/OpenMath-Nemotron-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
170,nvidia/OpenMath2-Llama3.1-8B,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
171,nvidia/OpenReasoning-Nemotron-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
172,shadowml/BeagSake-7B,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
173,shadowml/BeagleSempra-7B,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
174,shadowml/WestBeagle-7B,4,UNA-TheBeagle-7b-v1,6,Beagle,8,strict_root:name_rule:Beagle
175,swiss-ai/Apertus-8B-2509,23,Apertus-8B-2509,18,Apertus,2,strict_root:name_rule:Apertus
176,unsloth/Llama-3.1-8B,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
177,unsloth/Llama-3.2-1B-Instruct,14,Llama-3.2-1B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
178,unsloth/Llama-3.2-3B-Instruct,5,Llama-3.2-3B-Instruct,5,Meta-Llama-3.2,9,strict_root:name_rule:Meta-Llama-3.2
179,unsloth/Meta-Llama-3.1-8B-Instruct,2,Meta-Llama-3.1-8B,2,Meta-Llama-3.1,16,strict_root:name_rule:Meta-Llama-3.1
180,unsloth/Qwen2.5-0.5B-Instruct,12,Qwen2.5-0.5B,1,Qwen,63,strict_root:name_rule:Qwen
181,unsloth/Qwen2.5-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
182,unsloth/Qwen2.5-1.5B-Instruct,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
183,unsloth/Qwen2.5-Math-1.5B,3,Qwen2.5-1.5B,1,Qwen,63,strict_root:name_rule:Qwen
