base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.8,0.0,0.045775,0.05591,0.033895
lchen915/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.034851,0.011528,0.015459
summerstay/models-moved,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.00241,0.002721,0.00171
willtensora/459779f2-cbce-4ec0-b11c-1dcdf92498d8,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.228774,0.224937,0.151237
zheminh/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.8,0.0,0.1,0.114286,0.071429
Super007/aversi,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.0,0.0,0.0
Kyleyee/Qwen2-0.5B-stf-hh,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.028219,0.024783,0.017667
Kyleyee/Qwen2-0.5B-stf-imdb,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.033333,0.038435,0.023923
Kyleyee/Qwen2-0.5B-stf-tldr,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.011011,0.013643,0.008218
diao-92/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.001709,0.000964,0.000891
diao-92/Qwen2-0.5B-SFT-2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.048429,0.018309,0.022246
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-tp,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.045087,0.018466,0.021184
Kyleyee/Qwen2-0.5B-DPO-imdb-bm,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,1.6,0.0,0.007273,0.014035,0.007103
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-wp,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.213714,0.202025,0.13858
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-rp,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.8,0.0,0.151934,0.13147,0.094468
olegGerbylev/Qwen2-0.5B-from-scratch,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.02962,0.019033,0.016218
stpete2/Qwen2-0.5B-math-grpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,2.2,0.0,0.023242,0.039178,0.020806
stpete2/Qwen2-0.5B-math-cppo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.006154,0.01194,0.006031
stpete2/Qwen2-0.5B-gsm8k-grpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.027778,0.015209,0.014329
stpete2/Qwen2-0.5B-gsm8k-cppo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.006154,0.01194,0.006031
FormlessAI/d84419b5-2185-433b-9661-35c823d5d3a5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.082056,0.084693,0.055583
FormlessAI/29801858-871a-41f1-9ccf-13b2d65edc3c,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.08197,0.107262,0.063077
RLHF-And-Friends/TLDR-Qwen2-0.5B-SmallSFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.2,0.2,0.133333
2reb/TinyToolUse-Qwen2-0.5B-Calculator,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.059462,0.057309,0.038924
tarabukinivanhome/f8ee752c-7c34-483e-97c1-df292d1703a9,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.8,0.0,0.009447,0.009893,0.006447
apriasmoro/f9a66004-23ff-406b-a1e5-ab8c54795d56,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.2,0.0,0.090347,0.094582,0.061643
sergiopaniego/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.6,0.0,0.278711,0.357513,0.212074
vikasp1610/qwen-sql-ft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.001276,0.001707,0.000994
sergiopaniego/trainer_output,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,1.2,0.0,0.088323,0.096362,0.061562
yarinbar/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.052814,0.0,0.017605
jona-972/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.053467,0.035243,0.02957
jona-972/Qwen2-0.5B-SFT-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.013105,0.004101,0.005735
jona-972/Qwen2-0.5B-SFT-2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,28.8,0.2,0.224039,0.208635,0.210891
nmslmgl/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.4,0.0,0.03116,0.036523,0.022561
cheese1010/Qwen2-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,diff,5,30,0.0,0.0,0.008521,0.004081,0.004201
