base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.002651,0.004733,0.002461
rawsh/MetaMath-Qwen2.5-0.5b-PRM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.3,0.0,0.283692,0.279936,0.187876
osllmai-community/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.128328,0.116176,0.081501
hangingardens/hihihi,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.1,0.0,0.021816,0.012276,0.011364
llamafy/Qwen-Qwen2.5-0.5B-llamafied,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.128328,0.116176,0.081501
caelancooper/Qwen2.5-0.5B-business,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.3,0.0,0.190969,0.119876,0.103615
sail/Sailor2-1B-Pre,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.5,0.0,0.085237,0.116978,0.067405
morgan/qwen2_5.qwen2_5_0_5b_instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.3,0.0,0.190969,0.119876,0.103615
fdyrd/QwenMath-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.8,0.0,0.08413,0.072708,0.052279
tcapelle/toxicity-scorer-qwen,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.0,0.0,0.003493,0.0,0.001164
tcapelle/toxicity-scorer-qwen-ct2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.1,0.0,0.010946,0.012946,0.007964
sail/Sailor2-1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.9,0.0,0.244879,0.268301,0.17106
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.4,0.0,0.11048,0.10694,0.072474
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.4,0.0,0.108568,0.077546,0.062038
AlyGreo/finetune-Qwen2-0.5B-codeDataset,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.7,0.0,0.122558,0.099111,0.07389
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.077143,0.051726,0.042956
Audreygyj/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,13.4,0.1,0.207315,0.167267,0.158194
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.8,0.0,0.115168,0.094663,0.069944
shb2024/Qwen-0.5B-AMR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.1,0.0,0.098918,0.071789,0.056902
JayHyeon/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.5,0.0,0.064167,0.010243,0.024803
JayHyeon/Qwen2.5-0.5B-SFT-1e-5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,25.8,0.2,0.419682,0.40681,0.342164
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,18.1,0.2,0.177147,0.157244,0.17813
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,1.0,0.0,0.141329,0.096995,0.079441
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.1,0.0,0.198653,0.189741,0.129465
JayHyeon/Qwen2.5-0.5B-SFT-1e-4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,1.0,0.0,0.162613,0.189809,0.117474
JayHyeon/Qwen2.5-0.5B-SFT-2e-4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.075748,0.03356,0.036436
JayHyeon/Qwen2.5-0.5B-SFT_2ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.9,0.0,0.055718,0.055603,0.037107
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,1.2,0.0,0.06873,0.074886,0.047872
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.4,0.0,0.024633,0.020551,0.015061
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.4,0.0,0.091623,0.040662,0.044095
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.3,0.0,0.101159,0.100195,0.067118
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,1.2,0.0,0.157349,0.068684,0.075344
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,1.2,0.0,0.013959,0.012742,0.0089
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.0,0.0,0.119674,0.129744,0.083139
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.1,0.0,0.091968,0.083379,0.058449
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.6,0.0,0.11074,0.084157,0.064966
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-2ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.7,0.0,0.332101,0.302907,0.211669
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-2ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.4,0.0,0.093607,0.123991,0.072533
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.5,0.0,0.136328,0.14924,0.095189
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.3,0.0,0.177856,0.142593,0.106817
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-5ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,10,30,0.2,0.0,0.111426,0.080167,0.063864
